id,label,PAAC5,PAAC15,PAAC10,PAAC4,PAAC12,PAAC19,PAAC3,PAAC22,PAAC14,PAAC2,PAAC16,PAAC25,PAAC26,PAAC21,PAAC6,PAAC30,PAAC20,PAAC7,PAAC11,PAAC27,PAAC13
Negative_20,0,1.91,7.162,1.91,0.477,0.955,0.477,2.387,4.636,1.91,2.387,4.775,3.761,4.015,3.94,1.432,4.388,4.297,2.865,6.685,4.417,2.387
Positive_530,1,1.448,1.267,3.439,3.62,3.983,1.81,2.715,4.909,2.715,2.534,4.707,5.193,4.887,5.01,3.62,5.13,2.353,0.724,3.62,4.839,1.81
Negative_430,0,2.08,2.179,2.179,1.882,0.792,1.585,1.585,4.9,2.674,3.863,3.764,5.251,5.426,5.135,2.575,4.927,2.476,1.981,5.348,4.974,1.189
Positive_657,1,0.491,1.8,3.436,1.309,3.6,3.109,2.618,4.689,3.6,1.473,3.272,4.855,4.755,4.563,1.636,5.287,3.272,1.8,5.4,4.951,1.964
Negative_202,0,1.253,5.012,1.253,0.0,1.253,1.253,0.627,4.009,1.253,2.506,9.398,4.035,4.058,4.487,2.506,4.513,3.133,3.759,8.771,4.159,1.253
Positive_253,1,0.804,2.413,2.758,2.413,3.332,1.379,1.839,5.314,2.413,2.643,2.758,5.094,5.032,4.867,2.413,4.795,3.218,2.068,3.907,4.956,1.379
Positive_93,1,1.452,3.057,2.369,2.598,2.827,1.07,1.299,5.163,2.522,2.904,4.356,4.983,4.892,4.927,2.751,4.857,3.286,2.064,5.12,4.859,1.528
Negative_10,0,1.931,0.644,7.079,2.574,1.287,1.931,3.218,3.775,7.079,0.0,5.148,4.062,3.491,4.294,0.644,3.713,7.079,3.218,9.01,3.796,1.287
Negative_463,0,2.376,2.376,1.018,2.376,2.036,1.358,1.018,5.595,0.679,5.429,2.715,5.649,5.673,5.198,2.376,5.019,2.715,3.054,6.787,4.655,1.358
Positive_717,1,0.0,2.101,3.082,2.801,3.572,1.821,2.801,5.056,2.031,1.891,3.922,4.801,4.78,4.704,3.222,4.693,3.642,2.662,3.712,4.667,1.611
Negative_1304,0,2.283,4.11,1.522,3.197,2.588,0.457,1.522,4.564,1.674,2.131,4.11,5.034,4.73,4.886,4.567,4.476,3.045,2.892,4.871,4.495,1.217
Positive_1037,1,0.849,3.113,2.83,2.547,3.584,1.981,1.698,5.482,1.981,2.735,3.962,4.77,5.108,5.073,4.15,4.959,2.641,1.698,3.396,4.914,1.698
Negative_1003,0,2.896,2.068,3.723,2.689,1.862,2.275,3.93,4.859,3.723,1.655,2.482,4.552,4.789,4.434,1.862,4.595,2.896,2.275,5.17,4.797,1.655
Positive_1152,1,0.371,3.087,2.47,1.605,1.976,1.729,1.729,4.821,2.593,2.346,2.84,4.71,5.001,4.901,3.21,4.976,3.581,2.716,6.668,4.759,0.865
Negative_418,0,2.105,3.421,0.658,1.71,0.526,0.395,0.658,5.051,1.184,4.868,2.763,4.94,5.213,5.339,3.815,4.911,3.289,0.395,8.42,4.694,0.395
Positive_358,1,0.993,2.781,2.88,2.086,3.377,1.291,1.689,4.853,1.589,2.384,3.377,4.795,4.886,4.684,2.979,5.016,4.37,1.092,4.271,4.728,1.689
Positive_730,1,0.106,0.849,2.333,2.545,2.651,0.955,2.015,4.835,1.273,3.818,4.879,4.989,4.885,5.71,4.773,5.081,2.439,2.864,5.409,4.579,1.061
Positive_808,1,1.478,2.956,2.886,2.182,3.026,1.056,1.83,5.028,2.604,3.167,4.082,4.91,5.16,4.781,3.871,4.884,2.886,2.111,5.067,4.611,1.407
Positive_978,1,0.921,2.762,2.67,3.223,3.223,1.933,1.473,5.014,1.933,2.946,4.42,4.806,5.09,5.05,2.854,4.435,3.591,1.565,4.972,4.917,1.841
Negative_644,0,1.624,2.346,3.969,2.346,3.247,0.902,1.443,5.088,1.443,2.526,3.067,4.669,5.096,4.958,3.608,5.2,3.428,1.263,3.789,4.736,1.624
Negative_1192,0,4.576,0.763,0.0,0.0,0.0,9.914,0.0,5.806,2.288,4.576,3.051,4.423,6.177,6.283,0.763,5.509,0.0,0.0,1.525,5.66,0.763
Positive_213,1,0.888,2.284,3.045,2.538,2.411,2.157,1.523,5.186,2.792,2.411,4.695,4.683,5.106,4.678,2.411,4.596,3.045,1.65,4.695,4.817,1.65
Negative_165,0,1.775,5.767,1.331,0.887,1.775,0.0,0.887,4.583,2.218,3.105,3.105,5.049,4.84,4.191,1.775,5.248,3.549,3.105,5.323,5.238,0.887
Negative_1058,0,1.364,2.905,2.245,2.2,1.893,1.276,1.408,4.916,1.364,3.257,3.961,4.801,4.887,4.657,3.169,4.824,2.641,2.861,6.602,4.769,1.1
Negative_510,0,1.215,4.019,1.869,2.43,1.963,1.122,1.869,4.444,2.337,2.15,6.169,4.428,4.714,4.509,3.739,4.698,2.991,2.15,6.45,4.333,0.374
Positive_835,1,0.8,2.722,3.683,1.441,1.922,1.922,4.324,4.989,2.242,2.722,4.964,4.467,4.803,4.924,2.882,4.603,3.523,2.722,5.124,4.441,1.601
Positive_423,1,0.598,2.391,3.227,1.912,3.945,2.271,1.912,5.016,1.793,2.391,2.869,4.967,5.041,5.189,4.184,5.617,3.586,2.032,4.064,5.334,1.076
Negative_771,0,2.297,2.552,4.594,0.766,2.297,1.786,2.552,4.591,4.083,1.531,5.104,4.471,4.365,4.32,1.531,4.759,4.339,0.766,8.932,4.332,0.51
Positive_949,1,1.335,2.502,2.168,0.667,1.835,2.335,2.002,4.981,4.67,2.168,3.336,4.808,4.683,4.546,1.167,4.62,4.17,1.835,8.34,4.514,1.501
Positive_731,1,0.0,0.857,3.857,3.857,5.571,0.429,1.286,5.57,0.429,4.285,3.0,5.489,5.423,5.518,1.714,4.551,4.714,0.857,3.428,4.994,1.286
Negative_1073,0,1.015,4.583,1.259,2.799,3.079,0.455,1.609,4.48,1.294,2.939,6.262,4.617,4.599,4.771,4.058,4.661,2.799,2.799,4.758,4.599,0.945
Positive_775,1,0.0,2.34,3.678,3.009,2.34,1.338,1.003,4.893,0.836,3.009,2.508,5.283,5.148,5.003,4.012,4.896,3.845,1.003,5.015,4.826,2.006
Positive_336,1,0.632,3.699,3.338,1.353,1.984,0.722,2.075,4.515,4.059,2.165,3.157,4.605,4.464,4.315,2.436,4.63,3.428,1.263,8.119,4.98,1.894
Negative_446,0,1.819,2.729,1.819,4.094,2.957,1.137,2.047,5.389,1.592,5.231,2.957,5.305,5.331,4.6,2.047,5.276,2.502,1.365,4.776,5.06,0.91
Positive_245,1,0.416,2.078,1.974,2.182,2.389,1.35,1.454,5.441,2.909,3.22,3.116,5.403,4.997,5.044,2.701,5.148,2.597,2.597,6.752,4.787,0.727
Positive_65,1,1.483,4.887,2.095,2.879,3.752,1.832,2.007,4.369,1.92,1.134,4.276,4.643,4.869,4.532,4.189,4.538,2.793,2.269,4.887,4.614,1.047
Positive_662,1,0.887,2.661,2.661,2.956,3.843,1.183,1.774,4.734,2.661,1.774,3.548,4.81,5.085,4.719,5.321,5.418,2.365,0.887,5.321,4.993,1.183
Negative_596,0,4.276,9.331,2.721,1.944,1.166,3.888,3.11,4.122,1.166,1.166,4.665,4.018,3.734,3.596,0.777,3.54,3.888,2.721,4.665,3.183,1.944
Positive_289,1,0.0,2.548,1.592,1.911,1.274,0.637,1.911,4.599,1.911,2.866,2.866,4.733,4.556,5.006,3.504,4.318,5.096,2.23,6.052,4.864,0.956
Positive_165,1,1.127,2.255,4.407,1.537,2.357,1.332,1.332,4.44,4.099,2.049,4.304,4.655,4.722,4.545,2.664,4.853,4.407,1.435,5.738,4.706,1.639
Negative_656,0,0.47,5.747,3.109,1.064,0.736,0.859,1.37,3.32,2.045,1.125,13.703,3.157,3.15,3.296,2.434,3.187,2.986,1.043,3.62,3.147,1.514
Negative_725,0,0.965,3.089,1.158,1.93,2.124,0.772,1.351,5.792,1.351,5.985,3.282,5.473,5.276,5.381,2.317,4.785,1.545,2.896,7.336,4.646,1.545
Positive_352,1,0.779,1.781,3.283,2.449,3.061,1.947,2.281,4.829,2.782,2.504,3.839,5.011,5.087,4.862,3.005,5.117,3.339,2.226,4.062,4.945,1.391
Positive_906,1,0.689,2.448,3.413,2.586,3.586,1.31,2.517,5.141,2.138,1.965,3.482,4.836,4.978,5.001,3.345,4.797,4.206,1.69,4.517,4.745,1.379
Negative_953,0,1.54,4.401,1.981,2.568,2.274,1.467,1.173,4.398,1.247,2.42,6.895,4.81,4.594,4.548,2.861,4.488,3.814,3.081,5.061,4.485,0.66
Positive_810,1,1.099,3.582,2.163,2.412,2.057,1.241,1.419,4.675,2.305,2.518,4.22,4.673,4.617,4.689,5.001,4.627,3.618,2.518,6.242,4.601,0.638
Positive_483,1,1.086,1.629,3.257,4.072,3.665,2.579,1.493,5.139,1.222,1.9,2.714,5.164,5.147,5.159,3.665,5.154,3.529,1.9,5.429,4.578,1.357
Negative_945,0,1.522,2.79,2.029,2.79,1.649,0.888,1.268,5.0,2.029,3.297,3.297,4.798,5.118,4.811,2.283,4.86,3.424,2.029,5.453,4.699,1.902
Positive_734,1,0.251,1.631,3.137,3.137,3.263,1.381,2.886,5.146,2.635,2.133,3.137,4.786,4.875,5.062,2.008,4.872,3.263,2.133,4.643,4.974,1.882
Negative_1175,0,2.12,4.241,1.696,2.12,2.756,1.272,0.636,5.02,1.272,3.817,3.817,5.116,5.32,4.722,2.544,5.271,2.544,2.12,5.937,5.364,1.06
Negative_1179,0,0.437,5.684,1.311,1.894,1.02,0.874,1.166,3.906,0.874,1.894,3.352,3.762,4.29,3.978,5.101,3.263,2.186,3.352,6.413,4.167,1.894
Negative_966,0,0.398,4.401,1.533,2.215,2.783,0.511,4.742,4.412,0.852,1.959,8.433,4.42,4.342,4.554,2.726,4.34,2.215,4.174,3.208,4.512,1.221
Negative_645,0,1.934,2.461,3.341,1.582,1.934,2.285,1.758,5.202,2.461,2.285,4.571,4.818,5.026,4.469,2.109,5.098,3.868,2.109,6.329,4.347,1.934
Positive_880,1,1.642,1.46,1.642,2.554,2.554,1.642,2.372,5.114,2.554,2.737,3.649,5.296,5.142,4.291,4.014,4.821,4.561,1.642,5.291,4.983,1.095
Negative_1314,0,0.935,4.488,0.655,1.87,2.15,1.496,1.122,5.285,1.59,4.394,2.711,5.198,5.25,4.861,1.87,4.972,4.114,1.963,5.703,5.124,1.028
Negative_1159,0,2.541,0.635,1.906,2.541,1.906,1.906,3.177,5.67,0.635,4.447,2.224,5.296,4.803,5.374,0.953,5.637,4.13,2.224,4.13,5.492,0.953
Negative_739,0,1.025,2.563,2.905,2.221,3.076,0.513,1.025,4.763,1.538,2.05,4.443,4.328,4.853,4.363,2.734,4.216,4.272,2.05,6.835,4.497,1.709
Negative_1222,0,0.949,3.416,0.569,1.708,0.854,0.664,0.854,5.12,1.044,4.08,2.942,4.846,5.03,5.062,3.037,5.11,3.037,3.416,8.636,5.072,0.19
Positive_291,1,0.118,3.079,2.25,3.079,2.369,1.777,2.073,5.181,1.48,3.553,2.961,4.908,4.891,4.958,2.25,5.133,3.376,3.731,4.915,5.028,1.599
Positive_269,1,1.533,2.862,3.475,1.431,2.658,2.76,2.658,4.764,3.373,2.555,2.351,5.003,4.902,4.59,2.453,4.78,3.578,2.249,4.906,4.923,1.737
Negative_1088,0,1.142,3.806,1.142,0.381,1.142,0.0,1.142,4.351,0.761,3.806,4.567,4.851,4.833,4.786,4.186,4.872,4.186,1.903,6.85,4.695,0.761
Positive_458,1,0.787,3.804,3.279,2.623,3.673,1.181,1.705,4.794,1.836,2.361,3.935,4.619,5.124,4.995,3.935,5.057,3.279,2.23,4.984,4.877,1.705
Negative_406,0,1.608,2.701,1.994,2.251,2.058,1.608,2.186,4.907,2.186,3.537,4.051,5.025,5.091,4.998,3.023,4.912,2.251,2.637,6.56,5.04,0.707
Positive_134,1,0.841,3.086,3.647,2.104,2.665,1.122,1.823,5.312,2.104,2.525,2.525,5.015,5.345,4.827,3.507,4.955,4.629,1.683,3.086,5.038,1.964
Positive_1049,1,0.664,2.987,3.706,2.544,3.429,0.885,2.102,4.786,1.715,2.378,2.378,4.903,4.838,5.001,3.374,4.807,4.093,1.715,4.923,4.854,1.106
Negative_648,0,3.359,4.551,1.842,1.734,3.467,1.192,2.817,4.703,1.734,1.517,4.117,4.112,4.53,4.459,4.767,4.591,2.167,2.384,5.96,4.684,1.3
Positive_729,1,0.627,2.509,3.137,2.133,3.012,1.129,1.631,5.452,3.764,2.761,3.012,4.986,5.46,4.859,5.145,5.084,2.886,1.506,4.517,5.176,1.631
Positive_647,1,1.102,3.099,1.653,2.685,1.928,2.755,1.653,5.37,1.722,3.925,2.617,5.261,5.141,5.188,4.82,5.024,2.479,1.584,5.303,5.09,0.964
Positive_626,1,0.943,3.205,2.451,2.074,3.582,0.566,2.451,4.879,1.508,2.451,3.771,4.734,4.765,5.032,3.959,4.796,4.336,2.639,4.902,4.972,1.697
Negative_141,0,0.985,2.626,1.641,4.267,0.656,0.656,0.656,5.499,1.641,2.954,4.267,5.134,4.359,5.013,4.924,4.806,2.298,1.313,11.489,4.792,3.282
Negative_1153,0,0.992,5.384,4.109,1.133,2.551,0.85,1.133,4.414,1.275,1.984,5.668,4.554,4.123,4.265,2.976,4.471,3.542,2.408,5.101,4.345,0.992
Negative_436,0,1.305,4.394,1.131,2.11,2.566,0.652,0.739,4.824,1.131,3.371,4.763,4.881,4.945,4.878,4.959,4.909,2.675,2.74,4.72,4.909,0.848
Negative_1075,0,5.377,7.274,0.316,0.633,0.633,0.949,0.949,4.668,2.846,4.744,1.898,5.043,4.911,4.759,0.949,4.901,5.06,1.581,4.744,5.415,0.949
Positive_174,1,1.019,2.037,4.188,1.585,2.603,2.15,1.811,4.668,4.188,1.358,4.98,4.478,4.34,4.332,2.037,4.346,3.169,1.358,6.904,4.368,1.245
Negative_98,0,1.622,3.466,1.991,3.319,1.844,1.401,1.18,4.846,1.991,2.876,3.392,4.925,4.843,4.935,3.761,4.966,4.278,2.139,4.499,5.009,1.401
Positive_760,1,0.895,2.538,2.687,2.239,2.388,1.493,2.538,4.773,1.642,2.09,2.09,5.189,4.952,4.967,3.433,4.694,4.777,3.284,4.627,4.909,0.597
Positive_209,1,1.121,3.451,2.933,2.243,2.933,2.329,2.502,5.072,3.278,2.329,3.019,4.598,4.59,4.96,3.105,4.58,3.019,2.674,4.917,4.835,1.294
Negative_183,0,0.95,3.562,1.425,1.9,1.425,1.306,1.662,5.07,1.662,3.562,2.494,5.083,5.203,4.902,2.731,4.987,3.918,2.494,6.174,5.05,1.543
Negative_318,0,1.625,2.843,2.03,2.437,2.843,0.406,2.437,5.101,1.218,4.061,4.467,5.611,5.264,4.588,1.218,5.44,2.843,2.03,4.873,4.459,2.03
Positive_389,1,0.885,3.54,1.897,1.77,2.276,1.264,1.264,5.446,2.023,3.161,2.149,5.181,4.971,5.112,2.907,4.792,4.045,2.528,6.447,5.02,1.643
Negative_1218,0,1.706,3.412,4.777,1.706,2.73,1.365,1.365,3.984,2.388,2.047,3.412,4.261,4.916,3.679,3.412,4.397,4.435,1.365,8.188,4.267,1.023
Negative_162,0,1.219,3.14,1.172,2.016,1.828,0.75,0.797,5.164,0.656,4.968,3.797,5.21,5.234,5.384,5.531,5.261,2.344,3.093,6.468,5.021,0.563
Positive_1074,1,0.513,3.488,2.975,2.769,4.103,1.744,1.847,4.977,3.077,2.359,3.283,4.817,4.936,4.923,2.975,4.91,3.488,1.641,6.565,4.74,1.334
Positive_751,1,0.423,2.72,1.934,2.901,1.753,1.753,1.088,5.237,1.692,2.841,2.901,4.934,4.991,5.137,3.143,4.698,3.445,1.632,4.956,4.886,0.967
Negative_220,0,1.121,6.352,1.681,3.363,1.494,1.494,0.934,5.011,1.494,3.923,2.802,4.935,4.787,4.933,3.176,4.781,2.055,2.055,5.417,4.95,1.308
Negative_958,0,1.521,5.893,2.851,1.711,1.141,1.521,1.331,4.384,1.521,3.612,6.084,4.321,4.466,4.34,3.612,4.657,2.851,3.042,4.373,4.782,1.521
Positive_1185,1,1.176,3.176,1.764,1.764,2.587,1.646,1.294,5.165,2.353,2.47,4.234,4.807,5.035,5.009,3.646,4.717,2.587,2.823,6.234,5.004,1.059
Negative_423,0,1.516,2.855,1.963,2.052,2.498,0.803,1.516,4.909,2.23,2.676,5.174,4.987,4.726,4.798,4.371,4.938,3.568,2.32,4.996,4.878,1.338
Negative_676,0,0.377,5.097,3.021,3.587,3.21,1.133,1.699,4.431,1.888,2.454,5.475,4.979,4.857,5.454,2.266,4.735,3.587,2.077,3.21,4.491,0.377
Positive_1147,1,0.726,2.907,1.599,3.561,1.744,0.872,1.962,5.138,1.526,3.561,4.578,4.869,4.954,4.807,4.36,4.809,2.544,2.761,6.54,4.569,1.163
Positive_527,1,0.594,2.079,3.192,3.489,2.524,2.301,3.34,5.105,2.598,2.45,3.934,5.08,5.186,4.97,2.746,4.876,2.672,2.004,4.454,4.599,1.559
Positive_6,1,2.06,2.614,1.743,2.773,2.298,1.664,1.981,5.266,1.664,3.486,3.011,4.871,5.123,5.12,4.041,4.94,2.932,2.06,4.041,5.214,0.713
Negative_928,0,0.803,4.017,1.044,2.329,1.606,1.767,0.964,5.391,1.446,4.177,4.097,5.251,4.994,4.859,2.49,5.051,3.615,1.928,5.944,4.834,0.643
Negative_439,0,3.674,3.674,1.47,1.47,0.734,1.47,2.939,4.262,2.204,2.204,7.347,4.419,4.843,4.447,2.939,4.516,2.939,0.734,8.816,4.298,1.47
Negative_1110,0,5.514,9.023,1.003,0.501,1.504,0.0,0.0,3.844,0.0,2.507,10.026,3.591,3.472,3.863,2.507,3.957,4.01,3.008,2.005,3.71,1.504
Positive_293,1,0.914,2.424,2.662,2.741,3.297,2.066,2.106,5.124,2.304,2.542,2.86,5.109,5.061,4.998,3.814,4.755,4.012,1.907,5.482,4.816,1.072
Negative_373,0,1.506,3.916,1.205,1.205,1.205,0.904,1.506,5.619,0.602,6.627,3.615,4.811,5.952,5.292,1.807,5.592,1.506,2.711,3.615,5.444,0.602
Positive_1014,1,0.657,2.535,3.099,2.066,1.314,1.878,1.314,4.874,3.756,2.911,4.037,4.895,4.879,4.743,1.972,4.67,4.507,1.503,7.042,4.717,2.066
Positive_902,1,0.209,0.732,1.882,2.824,2.092,1.255,2.3,4.665,1.255,3.242,5.647,5.034,4.68,5.313,5.02,4.714,2.3,3.032,5.96,4.698,1.568
Positive_805,1,2.008,2.51,2.259,4.016,3.514,1.757,1.506,5.008,1.506,3.012,2.008,4.593,5.39,5.22,4.016,5.104,5.522,1.506,3.765,4.863,1.004
Negative_992,0,6.001,2.728,3.819,2.182,2.728,1.091,0.546,4.681,1.091,3.273,3.819,4.733,4.282,4.034,0.546,4.392,1.637,1.091,6.001,4.588,3.273
Negative_307,0,3.841,8.451,0.384,1.537,1.537,0.384,0.0,4.726,1.153,3.841,7.299,4.884,4.916,4.487,1.153,4.495,2.689,1.537,5.762,4.197,0.768
Negative_233,0,3.115,1.558,2.67,1.335,2.892,2.225,2.447,4.821,1.335,1.558,8.01,4.85,4.491,4.193,3.338,4.317,2.225,4.005,5.34,4.722,1.558
Positive_1131,1,1.181,1.653,2.125,2.833,2.833,2.598,2.361,5.275,4.723,1.181,2.361,5.293,4.701,4.804,2.833,4.884,3.778,3.07,3.07,4.184,2.125
Positive_865,1,0.0,2.412,5.427,1.206,1.91,1.709,1.407,4.821,5.026,2.01,1.809,5.019,5.027,4.375,2.412,5.269,3.618,0.603,6.03,4.792,1.307
Negative_6,0,1.61,2.146,3.219,2.146,2.683,2.146,2.146,4.519,2.683,0.537,6.437,4.5,4.653,4.899,2.683,4.193,3.219,2.683,8.047,4.212,1.073
Negative_560,0,0.764,5.731,0.382,0.382,1.528,0.382,2.292,4.938,1.528,4.203,6.113,5.373,5.011,4.41,3.056,4.381,1.91,3.439,6.495,4.431,0.382
Negative_449,0,0.86,4.088,3.729,3.442,2.439,0.574,1.506,4.798,1.004,2.869,3.657,4.703,4.771,4.745,3.585,4.703,4.159,1.793,4.948,4.703,1.578
Negative_104,0,1.442,3.46,3.172,2.019,3.172,2.019,4.614,4.401,2.307,1.153,2.307,4.633,4.415,5.213,3.749,4.27,3.749,2.019,6.344,4.074,1.442
Negative_979,0,2.469,4.63,0.926,2.315,1.08,1.08,0.926,4.419,1.235,2.624,4.321,4.622,4.627,4.419,2.161,4.786,2.932,2.469,8.643,4.474,0.308
Positive_412,1,0.979,3.11,2.707,1.497,1.843,0.979,0.806,4.854,2.707,3.398,3.801,4.75,4.867,4.841,3.225,4.761,3.859,1.958,5.701,4.768,1.324
Negative_941,0,2.512,2.776,2.909,2.512,3.173,1.851,1.057,4.789,1.719,2.512,4.098,4.656,4.87,4.797,4.098,4.87,3.437,1.587,5.156,4.828,1.19
Negative_1273,0,2.364,4.729,1.576,2.89,1.313,1.313,0.788,4.44,1.839,2.364,5.516,4.764,4.587,4.488,2.89,5.008,2.89,2.364,6.305,4.453,0.788
Negative_1271,0,1.901,4.753,1.141,1.331,0.475,1.141,0.855,4.277,1.711,3.802,5.608,4.596,4.648,4.414,1.236,4.667,2.566,1.141,6.749,4.494,0.475
Positive_1047,1,0.623,2.18,4.775,1.246,2.284,1.765,1.453,4.705,4.36,1.661,4.464,4.784,4.703,4.297,2.491,4.605,4.256,1.765,5.813,4.588,1.765
Negative_1243,0,1.24,1.901,0.413,1.901,0.744,2.645,0.909,5.44,1.736,4.381,2.645,5.294,5.017,5.026,1.653,5.139,3.968,1.405,6.53,5.292,1.157
Negative_569,0,5.748,0.718,0.0,0.0,0.0,11.496,0.718,4.761,0.718,2.874,2.155,5.425,5.348,6.508,0.0,5.583,0.718,0.0,2.155,4.951,0.718
Positive_495,1,1.309,2.619,2.058,2.058,3.928,1.309,1.496,4.582,1.871,2.245,4.115,5.147,4.539,4.361,4.676,4.737,2.806,2.619,7.108,4.601,0.748
Positive_888,1,0.0,1.681,3.439,3.897,5.96,2.063,2.827,4.767,1.376,0.993,2.751,4.684,5.034,4.837,3.439,4.813,3.133,2.216,4.05,5.028,1.07
Negative_25,0,1.19,5.476,1.429,1.666,1.905,0.238,0.714,4.402,1.905,1.905,6.904,4.5,4.47,4.164,2.381,4.516,3.571,2.619,5.0,4.674,0.952
Negative_1255,0,1.052,3.378,1.772,3.544,1.938,1.329,2.824,4.68,1.44,3.655,6.923,4.818,5.019,4.604,3.766,4.786,2.437,1.717,4.098,4.69,0.775
Negative_750,0,2.374,5.113,1.278,2.466,2.739,1.461,1.917,5.059,2.557,2.191,5.478,4.487,4.719,4.298,3.652,4.816,2.648,2.648,4.017,4.43,0.822
Positive_161,1,1.037,2.962,2.468,2.814,2.468,1.53,2.122,5.153,2.468,3.011,3.011,4.848,4.994,4.951,3.208,4.802,3.554,2.369,4.64,4.946,1.234
Negative_1315,0,0.682,7.163,1.364,1.364,2.388,1.023,0.682,4.872,2.388,2.729,5.117,4.864,5.603,4.614,3.753,4.363,5.799,2.047,1.706,4.415,0.682
Negative_883,0,1.202,3.305,2.504,2.404,2.504,1.803,2.003,4.68,2.204,1.803,4.006,4.843,4.856,4.701,2.003,4.853,3.505,2.905,5.008,4.714,1.502
Positive_639,1,0.873,2.418,2.955,3.291,3.492,2.283,3.156,5.318,2.82,2.216,2.082,5.137,5.382,4.932,3.022,5.003,3.895,1.477,4.029,5.016,1.007
Positive_679,1,1.029,2.958,3.216,2.058,2.315,2.058,1.286,5.117,1.672,3.216,2.83,4.774,5.356,5.075,2.83,4.678,2.573,2.702,6.046,4.884,1.158
Positive_59,1,1.236,4.079,1.73,1.36,1.978,1.793,1.978,5.078,2.472,3.399,5.068,4.947,4.875,4.764,1.607,4.705,3.028,2.163,6.304,4.857,0.618
Negative_751,0,0.805,6.038,0.0,4.026,1.61,0.0,0.805,4.41,1.61,3.22,5.636,3.999,4.607,3.865,3.22,4.766,1.61,6.038,4.026,4.829,2.818
Positive_1210,1,1.391,3.71,5.101,1.762,1.484,1.484,1.484,4.437,2.875,1.948,3.618,4.582,4.315,4.529,2.041,4.457,3.618,1.67,6.678,4.612,1.577
Positive_1137,1,1.029,3.294,2.47,1.852,4.735,1.852,2.058,5.184,2.676,1.852,3.499,5.147,5.219,4.986,4.941,5.082,2.058,1.235,5.558,4.909,1.441
Positive_294,1,0.755,1.853,2.951,2.745,3.087,1.235,1.853,5.29,1.578,2.882,3.636,5.082,5.045,5.135,3.225,5.04,4.734,1.784,4.048,4.7,1.578
Positive_852,1,0.387,1.548,4.642,2.321,4.256,0.774,0.774,5.478,0.387,5.803,2.321,5.312,5.544,5.711,2.321,5.428,2.708,0.774,3.482,6.177,1.16
Positive_770,1,0.127,2.17,3.574,1.404,2.681,1.787,1.404,5.462,1.659,2.808,1.149,5.189,5.126,5.095,4.978,5.146,3.447,2.042,4.34,5.318,1.277
Positive_1090,1,1.355,2.54,3.218,1.185,3.218,1.694,3.049,4.425,4.743,1.524,4.573,4.4,4.089,4.553,1.016,4.625,2.879,2.54,8.299,4.3,2.202
Positive_1178,1,1.227,2.103,3.154,2.804,4.907,2.454,2.979,4.952,2.278,1.052,3.154,5.191,5.065,4.74,3.856,4.733,2.979,3.33,4.732,4.727,1.577
Positive_988,1,0.704,1.936,2.757,2.816,4.107,1.76,2.229,5.23,2.581,2.053,2.406,5.195,5.001,4.737,4.752,4.875,3.755,2.112,4.635,4.961,1.76
Negative_1141,0,1.878,2.683,2.548,2.415,2.146,1.476,2.415,4.604,2.28,3.488,2.951,5.208,4.787,5.076,2.415,4.48,3.756,2.951,4.963,5.129,1.207
Positive_384,1,0.928,2.651,4.375,2.121,1.988,0.928,1.193,4.689,2.386,3.314,3.579,4.893,4.563,4.906,2.916,5.064,3.844,1.591,5.568,4.565,1.591
Positive_136,1,1.325,2.762,0.773,2.32,1.767,1.547,0.552,5.733,2.43,3.645,1.436,6.002,5.229,5.264,3.977,5.653,2.651,2.541,4.971,4.656,1.767
Positive_476,1,2.82,2.35,2.82,2.664,3.761,1.802,3.447,4.719,1.802,1.88,4.309,4.936,4.92,4.939,4.074,4.414,3.526,1.958,5.092,4.79,0.783
Negative_281,0,1.707,7.894,0.853,3.84,0.213,0.0,1.28,4.045,1.92,3.627,6.187,4.539,4.337,4.257,4.267,4.735,2.133,1.92,6.613,4.691,0.853
Negative_542,0,1.397,2.395,0.399,1.198,0.799,1.796,0.799,4.792,3.593,2.595,2.395,4.761,4.824,5.019,0.998,4.844,4.79,1.996,7.983,4.982,0.998
Positive_505,1,1.431,1.789,3.578,1.073,3.936,1.431,3.578,4.56,2.147,1.789,3.936,4.595,4.371,4.576,4.293,4.499,1.789,2.504,9.659,3.985,2.147
Positive_655,1,0.536,1.929,2.787,2.572,3.108,1.286,1.822,5.119,1.929,2.894,1.929,5.452,5.229,5.256,2.894,4.893,4.18,2.143,4.18,4.531,0.858
Negative_954,0,3.691,6.41,2.525,0.971,2.331,1.554,1.554,4.897,1.554,3.302,2.914,4.404,4.862,4.474,1.554,4.506,3.496,0.971,4.662,4.671,0.971
Negative_1189,0,5.063,1.688,3.375,1.688,5.063,1.688,1.688,3.696,6.751,2.532,0.844,5.364,4.561,5.099,1.688,5.727,4.22,0.0,3.375,4.906,2.532
Negative_139,0,3.452,7.335,3.452,1.294,0.863,3.02,1.726,4.25,3.452,3.452,0.863,4.175,4.768,4.258,1.294,4.687,3.883,0.863,3.883,4.485,0.431
Positive_374,1,1.691,1.561,4.031,2.081,2.081,1.821,2.861,4.673,3.251,2.211,3.771,4.595,4.646,4.568,2.471,4.477,4.682,2.471,5.072,4.52,1.3
Positive_744,1,0.464,4.453,2.597,2.597,1.855,1.577,2.969,4.642,1.948,2.319,2.226,4.588,4.822,5.074,2.69,4.85,3.525,1.392,3.432,4.707,1.113
