id,label,APAAC5,APAAC10,APAAC12,APAAC19,APAAC15,APAAC4,APAAC14,APAAC16,APAAC3,APAAC6,APAAC20,APAAC13,APAAC7,APAAC2,APAAC11,APAAC18,APAAC23,APAAC9,APAAC29,APAAC39,APAAC1,APAAC24,APAAC8,APAAC34,APAAC17,APAAC28,APAAC40,APAAC32
Negative_839,0,8.026,3.344,4.013,1.338,4.682,3.344,0.0,10.701,1.338,1.338,4.682,2.007,3.344,1.338,8.695,1.338,3.007,1.338,1.262,0.186,3.344,2.153,5.35,0.817,4.682,4.083,-3.378,-1.002
Positive_143,1,0.388,4.659,2.33,1.553,6.989,9.708,4.659,8.931,1.553,4.659,8.154,1.942,2.33,10.485,13.202,0.0,-4.066,3.107,-1.099,-1.099,13.202,-3.407,7.766,6.209,4.271,1.319,-2.033,1.209
Negative_185,0,0.629,3.459,1.258,1.572,15.723,2.83,1.258,11.32,5.974,3.459,3.459,1.572,3.459,5.346,10.377,4.716,-2.759,2.201,-0.358,-3.526,6.918,-1.431,14.465,2.146,2.201,2.146,-3.986,-0.102
Negative_748,0,1.615,3.028,2.019,3.028,2.422,1.211,4.44,3.229,1.009,2.019,3.835,2.019,0.807,2.624,5.45,2.22,3.079,2.624,3.488,2.67,4.643,2.425,3.431,0.245,2.826,-1.144,1.035,1.035
Negative_666,0,1.312,1.312,1.968,1.312,1.968,0.656,3.28,5.249,4.593,0.656,1.968,1.968,2.624,3.28,12.466,2.624,-0.216,5.249,2.96,3.299,2.624,4.224,2.624,1.233,3.936,2.559,1.727,1.203
Negative_933,0,1.829,2.214,2.599,2.021,4.813,4.139,3.08,7.316,1.54,5.968,4.236,1.925,3.561,5.39,8.086,1.059,-1.292,2.117,0.074,-0.812,4.043,1.107,5.197,2.584,2.695,0.886,-1.292,1.107
Positive_330,1,1.371,4.661,4.935,1.645,3.838,3.564,2.467,5.483,3.289,6.306,5.483,1.096,2.193,5.483,11.24,1.096,-4.038,3.015,5.127,1.225,10.691,-1.77,7.128,0.408,5.757,0.0,2.632,-1.679
Negative_154,0,2.493,6.411,6.411,3.561,5.343,4.63,3.918,7.124,3.561,6.055,6.411,4.63,6.055,7.124,10.685,2.85,-3.461,2.493,2.343,-1.331,4.274,-5.005,6.411,2.023,6.055,2.236,-3.727,2.769
Negative_1105,0,3.029,3.66,4.923,1.263,6.185,3.787,2.02,8.584,3.029,4.923,5.176,1.641,3.408,4.292,7.573,0.757,-1.654,2.651,-3.183,-0.703,5.049,-0.413,4.544,1.654,6.185,0.703,0.496,1.86
Negative_542,0,1.499,0.428,0.857,1.927,2.57,1.285,3.855,2.57,0.857,1.071,5.14,1.071,2.141,2.784,8.567,2.57,2.348,2.784,2.32,2.795,6.425,-0.866,4.926,0.95,2.57,2.99,0.699,1.146
Positive_644,1,1.756,1.991,3.629,4.332,4.683,4.332,3.747,5.268,2.927,8.313,5.386,1.873,4.449,5.151,8.898,0.702,0.086,1.991,-1.12,-0.172,7.961,1.939,4.683,1.077,4.097,3.145,2.283,2.757
Negative_89,0,1.607,3.715,4.419,1.506,5.323,3.715,2.611,10.946,3.314,8.837,4.117,2.109,6.327,4.62,10.946,0.301,-1.606,2.008,-2.341,0.275,4.821,-0.092,4.821,3.442,5.724,0.505,2.57,1.973
Negative_807,0,1.281,3.204,0.641,3.204,5.766,5.766,3.844,5.766,0.641,11.533,8.97,1.922,4.485,12.174,9.611,1.922,-8.027,1.281,-2.731,-1.115,13.455,-1.115,12.174,5.128,3.844,-2.508,3.958,2.285
Positive_99,1,2.164,4.088,7.213,2.765,3.246,4.568,4.568,4.689,2.885,7.093,4.088,2.524,3.727,4.568,8.656,0.841,-3.598,2.885,1.323,3.846,4.088,-1.075,4.809,0.331,3.246,-0.62,2.109,3.06
Negative_1221,0,1.707,0.569,4.742,1.707,2.845,3.983,1.707,5.311,1.707,5.122,2.845,1.328,2.656,4.742,7.588,1.138,2.342,1.517,0.26,3.383,6.07,3.709,4.363,0.683,3.414,4.294,3.839,2.375
Positive_810,1,1.477,2.906,2.763,1.668,4.812,3.24,3.097,5.67,1.906,6.718,4.86,0.858,3.383,3.383,8.386,0.572,0.143,2.382,0.573,1.003,5.67,1.863,4.193,1.756,3.716,1.863,2.544,2.293
Positive_541,1,1.675,4.279,4.466,2.605,1.736,3.411,4.342,4.217,3.908,4.59,4.776,1.365,2.294,3.411,7.567,1.55,-0.205,1.426,1.232,0.616,3.908,0.377,3.225,2.26,3.721,4.04,1.335,-1.301
Negative_1042,0,2.497,2.35,2.056,2.937,3.231,1.322,2.644,3.378,2.203,1.175,4.7,1.028,1.322,4.406,6.756,1.909,1.384,2.497,1.938,3.627,3.231,1.412,3.231,1.163,2.497,2.409,2.187,2.99
Positive_713,1,0.766,3.675,5.666,4.288,2.909,5.513,1.684,4.288,3.828,6.279,3.828,2.45,3.675,4.135,5.972,1.072,-0.565,2.297,-0.424,2.612,2.909,0.106,2.909,4.977,2.45,2.965,3.706,-1.659
Positive_1012,1,1.029,2.745,1.839,1.177,2.427,2.157,2.917,3.162,1.814,3.407,3.334,1.201,1.691,2.868,5.491,0.588,1.672,1.054,1.72,1.987,3.456,2.229,3.677,1.914,2.427,3.174,2.52,3.223
Negative_856,0,1.774,4.14,4.288,1.774,6.653,3.992,2.218,11.68,4.731,5.914,4.14,2.958,7.984,6.505,11.828,1.479,0.0,3.696,-0.955,0.0,6.21,-0.69,7.688,-0.318,6.505,-0.743,1.062,-3.609
Negative_821,0,2.979,3.724,4.468,2.235,7.448,1.489,5.213,10.426,5.957,12.66,13.405,2.979,4.468,14.894,9.681,3.724,-12.198,3.724,-2.279,4.625,12.66,-7.909,5.957,2.748,5.957,-0.402,5.161,4.29
Negative_581,0,1.241,3.516,2.481,4.136,8.893,4.343,3.929,4.756,3.308,4.343,5.997,2.068,3.516,4.136,11.581,2.895,1.638,2.689,0.591,-1.046,4.756,-0.773,7.652,0.546,4.756,0.318,-1.319,-0.546
Negative_162,0,1.56,1.5,2.341,0.96,4.021,2.581,0.841,4.862,1.02,7.082,3.001,0.72,3.961,6.362,8.282,0.96,0.588,0.9,0.526,-0.465,5.042,1.27,4.261,4.769,1.68,1.982,1.548,2.354
Positive_526,1,1.172,4.185,3.683,3.181,4.52,4.352,3.014,5.859,4.854,6.863,4.018,1.841,2.176,4.018,7.031,1.507,-1.873,1.841,-1.235,1.713,6.194,-0.797,6.528,1.594,2.845,2.271,3.705,0.518
Positive_594,1,2.161,5.282,3.841,3.121,3.841,4.081,2.64,7.922,3.841,6.722,5.282,3.601,4.562,7.682,12.484,1.201,-5.363,2.401,-1.42,1.314,8.882,-5.678,10.323,-1.84,5.282,1.157,3.049,3.365
Negative_244,0,2.266,2.569,2.72,0.604,6.799,4.079,3.022,6.195,1.209,4.986,7.101,1.36,6.346,9.821,12.39,0.907,-2.76,1.36,-2.034,1.453,10.274,-0.823,7.706,5.036,5.137,-1.065,3.438,1.743
Positive_1033,1,0.831,4.152,3.321,1.661,1.661,0.831,1.661,2.491,2.076,4.982,3.321,1.246,2.906,2.906,8.719,0.415,-2.17,1.661,-3.894,7.204,2.906,-3.922,3.321,4.84,4.567,3.755,5.981,2.503
Positive_586,1,0.556,7.785,9.732,7.507,3.614,6.673,5.839,3.058,6.673,7.507,6.395,1.946,3.614,3.893,6.951,1.112,-6.378,3.058,-2.245,-0.051,5.561,-4.898,6.395,5.255,4.17,-2.347,-0.663,-3.316
Negative_647,0,1.738,2.482,3.475,0.993,6.454,2.358,1.861,6.702,3.599,6.205,3.847,1.365,3.723,5.585,6.454,0.869,-3.111,2.73,-1.462,0.712,5.833,-1.537,3.972,4.31,4.716,2.774,2.286,1.049
Negative_1041,0,7.346,6.122,6.122,4.898,6.122,11.02,6.122,6.122,3.674,12.244,8.571,1.225,2.449,0.0,3.674,0.0,-3.715,1.225,3.062,-0.904,4.898,-0.753,3.674,3.062,4.898,-3.665,3.715,5.221
Positive_514,1,2.247,5.392,5.766,2.171,3.969,4.942,3.295,6.366,3.969,6.665,4.194,2.621,3.445,4.194,7.339,0.524,-2.05,1.123,0.246,-0.41,5.542,-0.943,4.942,5.576,3.295,1.968,1.845,2.788
Positive_281,1,0.987,4.503,3.12,1.817,1.975,2.607,2.923,4.344,2.962,3.318,3.871,1.738,2.133,2.725,8.097,0.987,1.101,1.343,1.866,2.172,4.226,1.071,3.357,2.294,4.147,2.998,1.285,2.57
Positive_480,1,2.063,4.081,3.812,2.466,6.682,5.203,3.947,8.925,3.005,6.682,8.655,1.928,5.561,6.368,14.172,1.48,-1.802,3.05,0.056,-0.901,10.135,-2.421,9.239,-0.0,5.158,-0.282,0.0,-1.014
Positive_569,1,0.641,10.244,8.963,7.683,5.762,6.401,8.963,7.042,3.841,12.804,10.244,3.201,3.201,10.883,12.804,2.561,-6.549,4.482,-6.69,4.366,10.244,-5.211,5.121,-0.634,5.762,17.324,3.662,-6.62
Negative_1297,0,3.536,1.01,1.01,0.0,5.556,3.536,1.515,5.051,0.0,4.546,0.505,1.515,2.525,7.071,8.587,2.02,2.47,2.02,3.858,-3.384,6.061,4.162,7.576,3.418,4.041,5.144,1.557,-0.812
Negative_1263,0,1.062,1.819,1.667,0.758,4.396,4.245,2.274,4.548,1.062,6.519,4.548,1.516,3.335,4.245,6.216,1.819,1.758,2.425,0.304,0.811,5.761,5.071,5.609,2.569,3.79,-0.101,3.82,-0.034
Positive_25,1,1.308,5.883,4.575,0.654,7.844,3.922,3.268,4.575,8.498,4.575,2.615,2.615,5.883,5.229,18.302,1.308,-6.11,1.961,-1.838,2.434,7.19,-4.272,1.961,3.875,7.19,0.646,2.385,-1.937
Positive_313,1,1.543,3.449,3.358,3.086,4.901,4.81,4.084,5.627,3.358,6.716,6.716,1.906,3.358,7.17,12.796,1.452,0.626,2.269,1.011,1.444,7.26,-0.048,7.533,2.504,4.901,0.722,0.674,-0.096
Positive_937,1,1.508,4.526,3.771,3.922,3.168,4.224,3.922,5.883,3.319,2.564,5.431,1.961,1.508,4.073,5.883,1.961,4.297,1.207,0.74,-0.317,2.867,4.121,2.867,-0.106,5.883,1.761,0.141,1.796
Negative_639,0,1.901,0.792,0.634,1.267,3.168,0.634,3.326,3.009,0.95,0.634,4.277,0.317,0.95,2.851,8.87,1.425,4.669,0.475,3.525,2.426,4.435,3.319,4.119,2.449,1.742,3.113,1.213,-0.252
Negative_311,0,0.813,0.325,0.325,0.488,6.997,0.976,0.813,5.207,0.0,3.092,3.417,1.302,2.766,2.766,12.693,2.116,3.109,2.116,5.182,2.544,7.16,-0.126,6.835,2.041,2.604,0.754,0.503,0.471
Negative_1193,0,6.577,3.288,2.192,15.347,2.192,1.096,5.481,8.77,2.192,2.192,1.096,1.096,0.0,6.577,6.577,0.0,-7.919,0.0,-2.947,2.532,0.0,-7.919,25.213,-0.23,2.192,5.341,-0.23,-4.052
Positive_1028,1,0.553,3.314,5.524,4.051,5.524,6.076,6.629,3.867,4.051,4.603,5.339,1.841,4.235,4.419,5.892,1.473,0.95,2.946,-2.504,-0.389,4.972,1.252,6.445,3.627,4.603,-0.561,-2.807,1.468
Positive_754,1,1.014,6.088,5.581,4.565,8.118,6.088,7.102,9.639,5.073,11.669,8.624,5.073,5.073,7.61,15.22,0.508,-9.293,4.059,-0.065,-1.898,3.551,-11.06,9.639,-4.843,6.596,-1.374,6.545,2.618
Positive_259,1,1.251,2.657,1.876,4.69,6.878,4.221,5.315,7.503,3.596,6.253,8.129,2.033,5.472,7.66,13.599,4.064,-3.368,2.188,2.323,-3.949,14.85,-5.401,9.379,0.29,4.533,0.813,-4.762,0.232
Positive_1188,1,2.432,1.459,2.432,5.105,6.078,4.62,3.647,3.647,2.675,6.078,7.051,0.487,4.376,6.808,9.968,1.702,6.565,2.917,-2.101,2.582,5.592,3.589,8.509,2.713,1.945,-0.044,5.164,-1.357
Positive_1208,1,2.257,5.079,8.747,4.515,6.772,7.619,5.643,4.515,3.668,8.465,7.619,3.668,4.797,5.643,12.98,1.693,-1.637,1.975,-5.756,-0.169,3.386,-3.837,8.465,0.451,5.361,3.555,2.596,-1.411
Positive_397,1,1.408,2.858,3.211,1.986,3.816,3.563,2.915,4.168,2.394,6.703,4.464,2.042,2.887,4.14,7.858,0.887,-0.639,1.873,-0.284,-0.78,5.408,1.313,5.112,3.193,3.253,4.434,1.667,0.993
Positive_892,1,0.368,3.31,4.782,2.575,5.885,3.31,2.943,8.828,6.62,3.678,9.196,3.31,4.414,9.196,14.713,1.104,-2.338,2.206,-1.824,3.535,12.138,-2.851,5.885,-2.166,9.563,-4.561,3.877,1.254
Negative_520,0,1.244,2.073,2.696,4.355,12.65,6.844,5.392,8.71,4.148,4.769,9.954,1.452,5.806,10.99,17.003,3.318,-4.265,4.769,-3.453,1.896,13.271,-2.979,9.124,1.693,6.844,-2.708,0.609,-1.219
Positive_696,1,2.39,3.286,4.183,2.689,6.573,7.171,5.079,5.378,1.493,5.079,10.159,2.689,1.793,6.274,10.159,0.0,4.072,4.481,0.053,-0.317,11.353,-1.111,9.561,-2.697,5.976,1.481,0.317,-1.692
Positive_1140,1,1.484,5.443,2.474,1.484,2.721,1.484,3.216,7.175,1.732,4.701,3.464,1.732,1.237,1.732,6.68,0.495,3.743,0.989,0.845,2.958,3.958,1.902,4.453,-2.203,3.711,-0.906,2.173,0.755
Positive_901,1,1.787,10.573,8.935,2.978,5.659,7.744,5.361,9.977,6.552,8.19,9.232,2.829,4.616,5.212,11.317,1.043,-7.914,3.128,-4.908,-1.718,5.807,-6.196,5.659,3.681,6.106,-0.736,-0.491,0.675
Negative_1268,0,2.424,2.155,0.539,1.077,2.155,2.424,2.155,3.771,2.155,2.155,5.117,1.616,1.885,4.578,8.349,1.885,3.104,0.539,3.53,-3.439,8.079,2.039,4.578,1.369,3.232,-0.213,-0.974,2.252
Negative_834,0,2.512,1.459,5.107,2.108,6.809,3.81,2.999,5.836,1.54,6.322,7.862,2.432,7.376,7.619,12.969,1.54,-5.833,3.323,-1.396,-2.493,8.349,-3.838,5.674,1.795,4.053,4.387,-1.097,0.598
Positive_52,1,5.223,0.87,4.352,1.741,3.482,3.772,2.031,5.223,3.482,3.482,2.902,2.611,3.192,3.192,7.834,4.062,-1.11,3.482,2.442,2.849,4.933,-3.7,4.352,2.035,3.772,4.957,2.109,0.888
Negative_1153,0,1.347,5.578,3.463,1.154,7.309,1.539,1.731,7.695,1.539,4.04,4.809,1.347,3.27,2.693,6.925,0.0,1.008,1.154,-0.814,0.194,8.271,1.163,7.695,-0.039,5.963,0.775,-0.155,2.248
Positive_1171,1,0.349,4.883,5.58,2.789,6.277,5.58,3.836,10.113,3.138,4.883,5.58,0.349,3.836,3.836,9.067,2.441,4.751,4.185,0.091,-1.142,4.883,5.071,5.929,5.756,3.836,-2.376,0.457,-2.604
Negative_170,0,3.084,2.41,3.277,1.831,3.855,3.952,2.313,7.133,1.445,5.494,5.301,0.675,3.952,4.819,9.349,1.157,1.136,2.12,-0.379,0.72,5.686,0.871,3.855,0.909,4.048,2.614,1.326,1.894
Negative_1274,0,4.185,1.287,1.609,1.287,4.829,3.863,2.575,6.116,1.287,1.287,2.575,1.287,1.609,2.253,7.403,1.287,2.263,2.575,3.25,0.86,6.116,1.53,6.438,0.701,3.863,1.052,0.319,1.625
Positive_173,1,1.326,3.741,7.009,2.274,3.836,3.647,2.368,4.215,2.984,6.251,5.068,1.373,3.078,2.794,5.636,1.279,-0.107,1.468,-0.251,0.716,5.209,1.468,4.12,2.291,3.931,2.614,2.614,3.187
Positive_606,1,3.399,5.438,5.325,3.399,4.872,7.365,3.965,6.684,3.965,7.138,6.571,2.833,6.118,4.758,12.916,0.566,-5.437,3.399,-2.452,-0.16,8.384,-2.932,5.211,0.586,4.305,1.972,1.333,-1.919
Positive_1142,1,0.652,3.107,7.172,1.764,2.8,4.526,2.761,4.411,3.03,4.833,3.951,1.304,2.11,2.417,4.718,0.729,-0.249,0.997,0.717,-0.062,3.682,2.806,4.027,3.118,3.375,3.867,2.495,1.278
Positive_570,1,0.618,6.485,7.411,4.632,6.793,3.706,2.779,7.72,4.324,5.867,7.72,3.396,6.793,4.014,10.807,4.014,-3.882,1.853,-2.235,2.882,12.66,-3.353,9.572,0.647,6.485,-2.0,1.588,-4.882
Negative_1033,0,0.935,4.675,5.609,1.227,6.661,2.571,1.753,9.232,3.039,4.266,6.544,1.285,5.317,2.571,5.376,0.351,-2.617,2.045,-0.789,1.08,6.018,0.042,6.72,0.665,6.895,1.828,2.243,0.291
Negative_803,0,1.11,1.281,1.879,1.281,7.6,2.988,2.391,6.149,1.451,5.807,3.672,1.11,3.245,7.174,10.674,1.366,-0.493,1.708,-0.699,-0.699,8.882,-0.041,8.966,3.865,3.502,2.097,1.275,0.781
Negative_951,0,3.703,1.852,0.926,2.778,4.629,2.778,1.852,6.482,2.778,6.482,6.482,3.703,10.186,8.334,11.111,0.0,-6.533,4.629,0.095,-6.152,12.037,-5.007,3.703,3.433,0.926,0.143,-2.718,-4.244
Negative_541,0,1.519,3.038,2.624,1.933,5.454,4.695,2.969,6.075,2.21,4.832,6.282,1.45,4.142,4.832,9.389,1.243,5.137,1.933,0.408,-0.611,6.835,5.177,7.387,-0.367,2.692,1.834,0.571,0.978
Negative_1205,0,0.841,0.0,0.841,1.683,6.73,0.0,4.206,1.683,1.683,0.841,3.365,1.683,2.524,9.254,9.254,0.0,4.058,1.683,1.514,0.999,7.571,-0.242,4.206,-2.18,2.524,3.089,1.908,3.392
Negative_755,0,5.367,5.367,4.803,2.542,8.192,4.52,4.52,5.086,1.695,9.323,3.672,1.412,4.52,5.367,9.04,1.695,-4.13,2.542,-2.818,-1.361,7.628,0.049,7.062,1.749,2.825,1.458,0.194,3.547
Negative_210,0,1.832,3.141,1.309,1.047,1.57,0.785,1.832,3.402,1.309,2.617,2.617,1.309,2.094,1.57,4.973,1.309,2.543,0.262,3.759,2.678,6.019,1.148,3.926,2.206,2.094,2.431,1.846,2.791
Negative_845,0,2.761,6.905,4.142,4.142,2.761,4.142,1.381,5.524,6.905,9.666,8.285,2.761,8.285,6.905,9.666,1.381,-8.4,2.761,-2.286,9.782,8.285,-4.572,4.142,1.489,5.524,13.822,5.104,0.266
Positive_451,1,1.825,4.379,4.561,1.642,3.284,3.101,2.554,6.385,3.101,3.831,3.649,2.007,2.919,2.007,5.291,0.912,5.942,1.46,0.21,0.06,1.642,4.532,1.642,3.631,3.831,-0.51,0.93,1.321
Negative_36,0,2.805,4.675,5.61,4.675,4.675,2.805,3.741,6.546,3.741,1.87,3.741,1.87,2.805,8.416,8.416,3.741,4.174,3.741,8.887,-1.706,4.675,4.443,5.61,0.628,5.61,-3.276,-1.93,-4.219
Positive_237,1,2.295,5.05,6.886,4.361,5.05,5.279,3.902,6.886,4.591,6.886,6.886,2.295,3.902,5.509,11.706,0.459,-4.268,3.673,1.663,-4.268,10.1,-3.326,9.411,0.443,5.738,1.497,-1.996,-1.053
Negative_1157,0,1.141,0.57,0.57,0.0,6.847,0.57,0.856,2.568,0.856,1.426,1.426,0.57,2.282,7.703,3.423,0.57,-1.779,0.856,7.384,5.708,3.423,0.827,3.709,0.331,1.997,1.013,4.302,3.661
Negative_667,0,1.913,2.869,3.825,1.53,7.269,4.782,3.825,10.138,2.869,4.59,7.269,1.53,4.017,7.46,11.668,2.104,-1.685,2.486,-3.83,-1.43,10.712,-1.839,7.269,-0.409,4.017,0.511,-0.511,-1.379
Negative_785,0,0.869,1.462,6.52,0.948,9.602,1.462,0.869,3.556,1.462,4.109,1.62,0.553,1.146,1.659,1.897,0.277,-1.331,0.395,0.25,0.25,4.267,0.055,1.581,6.103,11.222,1.886,1.886,3.44
Positive_620,1,1.126,2.663,6.453,1.639,2.561,3.687,1.742,6.658,1.946,5.838,3.995,1.742,2.97,4.711,6.658,1.126,-0.55,1.742,1.34,-1.546,2.97,2.887,5.122,3.78,3.38,2.096,1.065,3.883
Negative_409,0,2.679,1.675,3.349,1.507,6.029,5.024,2.177,8.374,1.507,7.369,4.02,0.838,7.369,6.531,20.264,2.177,-6.979,1.675,-5.365,1.146,10.885,-5.833,5.861,6.198,4.856,4.219,3.802,-0.729
Negative_907,0,2.7,1.519,1.688,1.181,2.025,1.35,2.194,2.531,0.338,1.519,3.375,1.181,2.363,1.688,5.738,0.338,4.306,0.506,3.732,1.579,3.038,3.281,3.038,2.05,2.7,2.748,2.44,3.035
Positive_485,1,0.855,5.129,6.197,4.488,7.052,8.762,6.838,6.411,3.847,5.77,4.274,2.565,1.71,4.06,9.19,2.137,-3.07,3.847,-4.982,-3.523,5.343,-3.02,7.48,4.731,4.702,0.604,-5.939,1.661
Negative_798,0,1.984,0.992,1.559,0.567,1.559,0.425,0.425,1.275,1.275,2.267,1.275,0.567,0.425,2.693,2.551,0.567,5.446,0.142,4.234,1.161,2.409,4.489,1.417,5.586,1.134,3.571,2.398,2.092
Positive_736,1,0.238,6.902,8.33,3.807,4.284,7.139,4.046,3.807,5.473,8.805,10.234,2.618,3.807,3.094,8.33,1.19,1.223,0.952,-3.777,-3.457,9.52,-0.745,7.378,0.904,6.426,-0.426,0.16,-3.085
Positive_194,1,0.643,5.141,5.623,4.658,4.658,5.141,5.301,5.944,3.052,4.819,5.783,2.088,2.731,4.016,7.55,1.285,-1.993,2.088,-0.297,0.636,4.016,-1.145,5.141,1.442,5.141,2.46,-0.042,-3.35
Negative_1273,0,2.826,1.884,1.57,1.57,5.653,3.454,2.198,6.594,0.942,3.454,3.454,0.942,2.826,2.826,7.537,1.884,2.274,0.628,1.153,-0.288,5.653,3.107,5.653,1.409,2.512,-0.641,-0.128,-0.609
Positive_408,1,0.621,3.37,1.153,1.596,2.217,1.596,3.725,3.459,1.685,2.217,4.168,1.685,1.33,2.661,6.651,1.242,3.103,0.266,2.345,4.373,3.281,1.124,3.281,2.614,2.661,2.028,2.81,1.197
Negative_1223,0,4.104,3.078,3.591,1.026,3.078,1.539,1.026,2.052,2.565,2.565,3.591,1.026,1.026,0.513,5.642,1.026,2.652,1.026,1.832,6.606,6.668,-1.567,2.052,-1.013,1.026,-0.386,4.99,5.689
Negative_1316,0,1.002,1.503,6.011,0.501,7.013,2.004,2.504,4.007,2.004,4.007,3.005,2.004,2.004,6.011,5.51,2.004,-0.795,1.503,-3.626,0.795,3.005,-1.24,6.011,1.718,2.004,7.093,4.644,9.637
Negative_172,0,1.079,1.265,3.125,0.707,3.98,2.641,1.414,5.096,2.12,3.943,1.897,0.818,2.195,2.529,3.757,0.26,2.071,1.748,0.494,2.729,3.534,2.824,2.12,3.506,2.827,3.365,4.024,4.165
Negative_1044,0,1.122,0.982,1.683,1.122,5.049,2.314,2.174,3.716,0.841,3.997,2.805,0.771,1.893,4.207,5.54,0.982,1.847,1.332,2.159,-0.104,3.787,3.538,4.979,3.356,2.735,4.553,1.665,2.653
Positive_1056,1,0.167,9.326,6.994,3.664,6.328,6.662,3.664,3.664,2.165,10.991,10.658,3.33,3.997,6.994,8.16,0.499,-0.058,2.331,1.266,-3.797,8.327,-1.323,9.825,2.359,7.328,6.387,-1.266,-1.899
Positive_843,1,1.039,3.808,5.884,3.808,5.539,5.539,3.808,6.577,3.808,4.153,4.5,3.116,3.116,4.153,9.346,1.731,-1.109,2.769,2.449,-0.832,6.231,-1.525,9.0,4.806,4.5,1.895,-2.172,1.987
Positive_219,1,0.739,3.79,1.849,1.849,2.773,0.647,3.328,3.605,1.849,2.126,3.328,1.849,1.294,1.109,6.101,0.277,4.263,1.017,2.958,3.121,3.513,2.795,2.866,1.584,2.681,1.374,1.84,1.863
Positive_598,1,1.326,4.31,7.128,2.652,2.818,6.299,1.99,5.968,4.807,5.304,7.956,2.818,2.321,2.983,5.968,0.664,-2.319,2.983,-3.786,1.183,10.609,-3.265,10.112,0.899,5.636,1.893,3.171,1.136
Negative_793,0,1.708,1.888,1.888,1.978,4.405,2.068,2.517,3.506,0.899,1.888,4.765,1.439,1.888,2.877,6.473,0.899,3.513,0.54,1.304,2.422,5.754,2.049,3.596,2.209,2.247,1.65,1.73,0.293
Positive_362,1,2.789,5.25,3.773,3.117,3.281,4.43,2.461,5.25,2.953,4.922,6.234,2.625,2.625,5.086,8.367,1.64,2.196,2.625,3.231,-0.953,5.578,-0.373,6.234,-1.326,3.609,1.698,1.781,0.704
Negative_1145,0,1.883,1.883,2.635,0.753,4.894,2.259,3.765,6.024,1.883,3.765,2.635,1.883,5.271,5.271,9.036,0.753,5.994,1.506,0.884,-0.884,4.518,3.931,3.388,0.328,1.506,2.162,0.819,-0.393
Negative_163,0,3.789,2.526,6.316,1.895,3.789,3.789,0.632,4.421,0.632,5.684,3.789,1.895,3.158,5.053,12.631,0.0,-2.271,0.632,0.073,2.857,6.947,-2.894,4.421,1.685,1.263,0.879,2.821,6.081
Negative_1266,0,2.299,1.916,1.15,1.341,6.323,1.82,2.395,5.078,0.574,3.257,5.078,1.054,3.64,4.502,12.358,2.203,1.274,3.544,2.803,1.929,6.131,0.764,5.364,1.82,2.778,1.056,2.184,-0.437
Negative_384,0,2.951,3.934,3.606,3.934,6.557,3.606,3.606,3.606,3.934,8.524,8.524,3.606,3.934,6.884,9.507,3.278,2.767,3.934,-6.891,-1.411,9.507,2.55,10.164,2.333,4.918,1.031,-1.899,-2.604
Positive_1061,1,0.283,5.371,6.785,2.827,3.675,3.393,4.806,4.806,2.545,4.806,3.957,1.979,3.393,2.545,7.067,1.696,1.859,1.979,1.782,2.246,7.067,1.278,5.936,2.246,2.545,0.62,1.588,0.542
Negative_552,0,0.832,0.832,2.959,0.925,3.884,2.034,0.832,7.397,0.832,6.01,2.497,0.832,4.438,5.178,6.287,0.462,0.373,0.74,1.898,0.031,6.01,2.427,7.212,5.507,2.034,2.458,2.489,0.996
Positive_1147,1,0.997,2.195,2.394,1.197,3.99,4.888,2.094,6.284,2.693,5.985,3.491,1.596,3.79,4.888,8.977,0.798,-2.734,2.195,-0.391,0.817,5.686,0.107,3.192,3.658,3.691,4.19,3.338,1.42
Positive_49,1,2.372,3.108,3.026,2.454,8.75,4.089,3.844,6.624,2.29,6.379,5.97,1.39,5.806,7.278,10.467,1.718,0.344,2.044,-0.787,-1.377,7.932,-0.246,7.606,0.984,5.234,0.098,0.049,-0.984
Negative_801,0,3.016,5.53,4.273,2.011,4.022,3.016,3.519,9.552,2.011,7.792,5.279,2.011,4.776,4.273,13.573,0.503,-4.537,2.011,-0.483,-0.434,7.29,-3.234,5.53,1.351,6.536,-2.075,-0.193,0.724
Positive_1191,1,1.127,4.671,1.933,3.221,1.933,1.288,4.026,3.704,3.866,1.45,3.866,1.45,1.127,2.255,8.375,1.127,2.394,0.966,1.937,6.079,3.06,0.43,1.933,1.56,2.416,1.748,3.981,3.631
Negative_334,0,1.141,5.702,6.843,0.0,22.809,0.0,3.421,14.826,4.562,4.562,6.843,2.281,6.843,1.141,5.702,2.281,0.433,5.702,-3.413,0.488,4.562,-2.438,3.421,1.083,5.702,-3.25,0.108,8.397
Negative_263,0,3.202,3.202,1.601,1.201,5.604,2.001,3.602,8.006,3.202,2.802,4.403,2.402,2.001,2.001,9.607,2.001,-2.138,2.802,-0.463,5.237,4.403,-2.066,3.602,1.354,3.602,-0.926,3.491,2.28
Positive_655,1,1.042,5.418,6.044,2.501,3.751,5.002,3.751,3.751,3.543,5.627,8.128,1.668,4.168,5.627,8.128,1.459,-0.095,2.292,-3.81,3.0,6.669,0.857,11.253,6.048,5.418,1.238,3.333,0.762
Positive_604,1,0.89,3.373,3.093,1.406,1.734,2.413,3.326,3.725,2.319,3.28,3.139,1.663,1.335,1.968,4.732,0.656,1.268,0.445,2.184,1.174,2.624,1.221,2.507,2.748,2.343,2.56,1.973,2.983
