id,label,C,P,I,K,D,Y,F,S,N,E,V,Q,R,L
Negative_983,0,4.891,6.035,3.954,3.642,11.446,2.393,4.058,5.723,6.139,3.954,6.972,6.139,5.203,7.596
Positive_668,1,1.914,7.177,4.785,11.483,2.871,2.871,7.656,6.699,3.349,8.134,9.569,2.392,4.306,10.526
Negative_288,0,3.435,3.435,3.817,4.58,1.145,4.58,5.725,8.015,2.672,4.58,6.87,3.053,3.817,15.649
Negative_93,0,4.016,7.631,1.807,3.012,5.422,1.406,4.418,9.237,0.803,7.028,4.418,4.418,7.229,13.454
Positive_1159,1,1.392,5.567,5.567,6.362,4.771,4.175,4.97,5.567,3.38,5.567,5.169,3.976,5.169,12.525
Negative_1160,0,4.124,3.093,1.031,14.433,0.0,4.124,3.093,9.278,3.093,1.031,2.062,1.031,15.464,3.093
Positive_1185,1,2.299,6.207,3.448,5.057,3.448,3.218,4.598,8.276,2.529,7.126,5.057,5.517,4.828,12.184
Negative_1092,0,4.082,2.041,4.082,2.721,4.762,2.041,4.082,9.524,4.082,5.442,2.041,5.442,8.844,14.286
Positive_1142,1,1.046,4.49,4.982,11.501,7.257,2.829,4.428,7.073,4.859,7.749,6.335,3.383,3.875,7.565
Positive_386,1,2.454,6.544,7.362,5.93,4.908,3.681,2.863,11.861,4.499,9.202,9.407,2.863,2.454,7.566
Negative_210,0,4.07,3.488,6.977,2.907,1.744,2.326,4.07,7.558,2.907,5.814,5.814,4.651,3.488,11.047
Positive_550,1,0.258,4.897,2.835,2.835,9.536,2.32,5.928,2.835,2.577,7.216,4.897,2.835,9.021,10.052
Negative_199,0,7.273,12.727,3.03,1.818,3.636,1.818,1.818,8.485,2.424,3.03,7.273,3.636,7.879,11.515
Positive_499,1,1.905,3.81,7.619,17.143,2.857,4.762,2.857,1.905,4.762,7.619,2.857,1.905,1.905,5.714
Positive_337,1,2.109,2.46,10.018,11.775,5.975,5.448,5.624,7.03,10.545,5.272,4.218,2.285,2.988,8.963
Negative_103,0,4.724,6.299,0.787,6.299,5.512,1.575,3.15,7.087,1.575,3.937,4.724,4.724,7.874,16.535
Negative_793,0,3.209,8.277,3.547,3.547,3.885,3.716,4.73,6.588,1.689,3.547,8.953,3.547,5.405,12.162
Negative_1283,0,2.425,7.649,1.306,4.664,4.291,0.746,1.119,6.903,1.119,9.328,3.731,5.97,6.53,19.216
Negative_415,0,2.783,8.163,4.824,2.968,5.195,2.597,4.082,5.009,2.041,7.978,4.824,4.824,9.462,8.534
Negative_1225,0,3.906,7.812,3.125,4.688,3.125,0.781,5.469,7.812,2.344,2.344,3.125,4.688,9.375,11.719
Negative_127,0,2.116,7.937,2.116,2.116,2.646,2.116,2.646,7.143,2.381,5.82,6.614,5.026,7.407,15.608
Positive_593,1,2.251,7.129,4.128,4.315,4.128,2.439,6.942,6.004,3.189,6.942,6.942,3.94,6.942,12.008
Negative_382,0,2.521,3.782,3.782,0.84,2.521,3.361,5.462,7.983,2.521,5.042,7.563,7.563,6.303,13.445
Negative_1114,0,1.754,7.719,2.105,2.456,5.965,0.351,2.456,7.018,1.053,5.263,7.368,2.807,6.667,15.088
Negative_792,0,8.13,3.252,3.252,4.065,4.878,2.439,0.0,4.878,4.065,2.439,5.691,6.504,1.626,18.699
Negative_1017,0,3.797,5.063,5.823,3.797,2.532,4.81,6.329,9.62,4.557,1.013,7.848,2.278,5.063,13.418
Negative_142,0,3.509,8.772,3.07,1.754,3.07,2.632,3.07,10.526,2.632,2.632,5.702,6.14,7.895,12.719
Positive_221,1,1.343,3.616,5.062,6.818,7.748,2.686,3.822,5.062,3.512,6.715,7.025,4.339,5.062,9.504
Negative_608,0,8.8,5.6,0.8,4.0,2.4,2.4,2.4,5.6,5.6,3.2,5.6,4.0,4.8,16.8
Positive_904,1,2.231,6.491,6.288,2.231,4.26,3.043,4.462,5.68,4.462,6.491,9.533,2.84,5.882,12.17
Negative_48,0,7.368,8.421,3.158,2.105,3.158,2.105,1.053,10.526,2.105,4.211,7.368,2.105,6.316,14.737
Negative_662,0,0.885,10.619,4.425,7.965,2.655,3.54,0.0,12.389,2.655,4.425,4.425,6.195,7.965,8.85
Negative_1184,0,1.0,7.333,3.667,3.667,3.0,2.333,3.333,5.667,3.0,6.333,8.667,3.667,8.667,9.667
Positive_726,1,2.071,4.734,5.03,7.988,7.101,4.438,3.254,5.917,3.846,5.03,9.172,2.071,3.846,8.876
Negative_576,0,6.349,7.937,0.0,0.0,1.587,19.048,7.937,7.937,3.175,0.0,4.762,0.0,3.175,4.762
Positive_265,1,1.724,4.957,5.819,5.819,6.25,3.879,7.112,6.897,4.095,4.741,5.819,3.233,6.25,9.914
Positive_344,1,2.299,6.897,4.598,7.126,5.287,2.989,4.368,7.586,3.678,9.425,5.287,4.138,5.517,8.506
Negative_61,0,0.0,22.222,11.111,11.111,0.0,0.0,0.0,11.111,0.0,0.0,22.222,0.0,0.0,0.0
Negative_1012,0,3.774,5.66,3.774,4.717,1.887,4.717,0.943,7.547,4.717,1.887,7.547,4.717,9.434,15.094
Positive_300,1,3.247,4.545,7.143,4.36,3.711,2.597,7.05,9.276,4.36,6.865,5.937,4.545,4.36,9.091
Positive_584,1,0.997,3.322,3.987,8.97,6.977,2.99,4.983,6.977,6.977,4.319,3.654,3.322,4.319,7.973
Positive_749,1,0.505,5.303,4.04,5.303,5.051,3.03,5.303,3.788,4.545,7.323,6.818,5.051,3.788,8.586
Positive_802,1,1.857,5.286,6.571,5.857,4.857,3.429,4.857,4.714,3.857,7.143,6.714,6.429,5.571,8.857
Positive_551,1,0.181,4.167,4.71,5.616,5.435,3.442,4.167,6.884,5.435,3.442,7.609,3.442,5.072,6.341
Positive_797,1,2.279,4.274,8.547,5.413,4.558,3.134,3.134,6.553,6.268,6.553,7.977,5.128,3.134,7.692
Positive_703,1,0.075,4.876,5.176,6.827,7.577,4.426,4.051,6.377,6.452,5.851,7.952,3.601,3.001,6.902
Negative_98,0,3.179,6.792,3.902,3.613,6.503,2.746,3.902,6.647,2.312,7.37,8.382,4.191,5.636,8.815
Positive_774,1,1.546,4.124,10.825,7.216,3.608,2.577,4.124,6.701,5.155,5.67,6.701,1.031,4.124,7.732
Negative_706,0,0.596,4.97,3.579,3.38,4.175,1.789,1.193,6.958,2.584,6.958,10.139,8.151,3.38,6.561
Positive_530,1,2.888,2.527,6.859,7.942,7.22,3.61,5.415,9.386,5.415,7.22,4.693,1.444,5.054,7.22
Positive_1186,1,2.582,3.991,7.042,6.573,4.46,3.991,5.399,8.92,4.46,5.869,6.808,4.225,2.817,14.319
Negative_217,0,4.008,12.025,2.743,8.017,5.063,5.696,2.954,6.54,2.532,6.751,4.852,4.008,5.907,7.173
Positive_372,1,0.938,5.816,5.253,6.191,5.253,5.629,5.253,6.004,3.94,6.379,6.191,3.565,4.878,9.944
Negative_914,0,2.254,9.521,2.648,1.408,2.986,0.732,3.268,7.268,1.69,6.254,5.521,6.535,5.183,18.31
Negative_801,0,3.125,4.167,5.729,4.427,3.125,2.083,3.646,9.896,2.083,8.073,5.469,4.948,4.427,14.062
Negative_1159,0,5.405,1.351,4.054,4.054,5.405,4.054,1.351,4.73,6.757,2.027,8.784,4.73,9.459,8.784
Positive_665,1,3.191,5.674,5.319,7.801,6.028,5.319,5.319,7.092,3.901,4.255,4.61,4.255,1.773,8.156
Positive_266,1,1.959,5.093,8.129,4.407,4.114,3.33,5.289,7.15,4.016,4.505,6.856,2.938,4.603,9.892
Negative_112,0,3.763,3.763,4.839,6.989,4.839,1.613,3.763,9.946,4.032,4.839,6.989,2.151,4.57,7.527
Positive_588,1,0.364,2.182,4.364,7.273,2.909,4.364,3.273,9.818,6.182,6.909,7.636,1.455,2.545,13.091
Negative_1189,0,9.836,3.279,6.557,9.836,3.279,3.279,13.115,1.639,3.279,3.279,8.197,0.0,4.918,6.557
Negative_842,0,2.326,11.24,3.101,5.039,3.488,4.264,1.938,7.752,2.326,5.814,6.589,5.426,8.527,8.527
Negative_812,0,2.551,5.612,4.082,7.143,4.082,2.041,4.082,10.204,6.633,6.633,4.082,4.592,7.143,11.224
Negative_816,0,5.023,4.566,5.023,3.653,2.283,1.826,1.826,11.416,4.11,12.329,5.023,5.936,5.936,11.872
Negative_995,0,1.709,5.983,5.128,5.128,4.274,1.709,3.419,8.547,7.692,6.838,6.838,3.419,5.128,11.111
Positive_492,1,2.672,5.204,7.314,9.001,4.219,4.079,3.235,5.626,4.923,6.61,5.626,2.672,3.376,9.986
Negative_755,0,5.523,8.43,5.523,4.942,4.651,2.616,4.651,5.233,1.744,9.593,3.779,4.651,5.523,9.302
Negative_86,0,3.307,6.031,5.253,5.058,3.307,2.14,5.447,6.031,2.724,6.226,7.198,4.086,5.058,9.144
Negative_124,0,1.891,8.824,2.101,2.311,3.151,1.05,6.303,8.613,1.891,6.092,7.983,5.252,7.563,14.076
Positive_346,1,1.279,4.817,6.181,4.604,5.456,3.41,4.092,6.82,4.476,6.991,8.014,4.39,6.181,9.292
Positive_1,1,3.587,4.709,8.52,4.26,3.363,2.242,6.054,10.538,4.709,3.812,7.623,2.018,4.484,9.193
Negative_761,0,4.918,4.262,5.246,7.213,1.639,2.623,7.541,6.23,5.574,5.902,5.246,3.934,3.934,12.787
Negative_309,0,4.225,4.93,2.817,2.113,4.93,1.408,1.408,12.676,2.113,3.521,4.93,5.634,7.746,12.676
Negative_1044,0,2.156,9.704,1.887,3.235,4.447,2.156,4.178,7.143,1.617,7.682,5.391,3.639,8.086,10.647
Negative_463,0,4.828,4.828,2.069,4.138,4.828,2.759,1.379,5.517,2.069,4.828,5.517,6.207,11.034,13.793
Positive_14,1,4.894,7.66,2.979,3.617,2.979,2.766,2.979,6.383,2.34,5.319,5.106,6.17,6.17,11.489
Positive_710,1,2.804,4.907,5.14,3.505,7.71,6.776,5.841,5.14,4.907,6.308,6.776,3.972,4.206,8.178
Negative_961,0,2.95,6.785,2.065,4.13,5.015,7.965,4.425,10.029,2.95,2.95,3.54,3.54,4.13,8.85
Negative_539,0,1.242,14.7,1.863,4.969,4.555,4.762,1.863,9.524,2.899,5.59,1.863,2.692,3.934,6.625
Negative_1090,0,3.509,11.404,0.0,3.509,1.754,0.0,4.386,9.649,0.877,6.14,7.018,4.386,5.263,7.018
Positive_349,1,2.345,4.606,6.616,5.779,5.863,4.355,5.193,7.203,3.853,5.528,7.119,2.68,6.114,9.213
Positive_948,1,1.969,6.693,6.299,2.756,1.575,6.299,8.268,5.512,1.575,2.756,4.331,3.543,5.512,14.173
Positive_378,1,1.923,5.017,6.773,6.271,6.104,2.926,4.348,10.117,4.431,5.602,5.351,4.013,5.518,9.783
Positive_851,1,0.99,3.96,3.96,10.891,4.95,0.99,2.97,7.921,2.97,4.95,4.95,3.96,13.861,7.921
Positive_139,1,1.051,4.203,4.378,6.48,7.531,4.028,4.553,4.553,3.853,6.48,5.954,3.327,5.779,10.158
Positive_476,1,5.325,4.438,5.325,7.101,5.03,3.402,3.402,8.136,6.509,7.692,6.657,3.698,3.55,9.615
Positive_1184,1,1.389,3.472,6.481,8.102,5.324,1.62,4.167,3.704,6.25,6.481,8.102,5.324,3.472,9.954
Positive_604,1,1.895,3.691,7.182,6.584,5.137,2.993,7.082,7.93,4.938,6.983,6.683,2.843,4.19,10.075
Negative_922,0,3.789,5.895,3.789,5.053,4.842,3.579,3.789,5.263,2.316,5.474,5.895,5.474,6.526,12.632
Positive_1023,1,1.107,3.69,7.011,7.749,7.011,3.69,4.797,10.332,5.535,7.011,5.166,4.059,2.214,9.225
Positive_856,1,0.0,2.5,6.0,9.0,6.0,1.5,3.0,5.0,2.5,6.0,11.5,5.5,6.5,8.5
Negative_298,0,5.392,12.255,2.451,1.471,4.902,0.0,2.451,10.294,2.941,5.882,1.471,2.451,7.843,7.843
Positive_56,1,0.746,3.731,2.985,0.746,2.985,5.224,5.97,7.463,0.746,6.716,5.97,2.239,5.224,11.194
Negative_759,0,4.264,7.463,2.985,2.132,4.264,2.559,2.132,7.889,2.559,5.97,5.757,4.051,8.102,8.316
Negative_318,0,3.279,5.738,4.098,5.738,4.918,0.82,2.459,9.016,4.918,2.459,5.738,4.098,8.197,9.836
Negative_822,0,3.191,8.511,4.787,7.447,2.66,2.128,2.66,5.851,4.787,6.915,6.383,4.787,9.043,7.447
Negative_605,0,7.857,5.714,2.143,5.0,6.429,0.714,2.857,10.714,2.857,0.714,5.0,2.143,2.143,13.571
Negative_282,0,5.063,3.797,5.063,2.532,1.266,1.266,7.595,5.063,0.0,1.266,6.329,3.797,6.329,3.797
Positive_448,1,2.664,5.943,4.406,4.918,4.611,3.689,3.893,7.275,2.869,7.172,7.889,3.893,5.43,7.684
Negative_1187,0,5.66,4.245,7.547,4.717,6.604,3.302,2.83,10.849,2.358,6.132,3.302,5.189,6.132,11.321
Positive_1120,1,1.813,4.714,6.165,5.984,6.981,4.442,4.442,6.528,6.981,5.802,6.981,4.17,4.352,9.157
Positive_179,1,1.498,3.745,7.678,6.18,5.805,3.371,4.307,6.554,5.618,8.24,5.431,4.869,4.494,9.738
Positive_981,1,0.527,8.26,6.151,7.206,4.394,2.812,5.097,11.951,2.988,5.8,6.327,3.163,5.448,7.909
Positive_328,1,2.422,4.264,6.202,5.523,4.845,3.779,4.36,8.236,5.814,6.492,7.364,3.779,4.457,8.721
Positive_82,1,2.37,11.611,2.133,1.896,4.502,2.37,1.896,9.479,0.948,3.555,7.82,5.213,6.635,10.9
Negative_573,0,10.0,10.952,1.429,0.476,2.381,3.81,2.857,18.095,3.81,1.905,5.238,5.714,5.238,10.0
Negative_313,0,5.417,4.167,3.75,3.75,5.833,5.0,5.417,5.833,2.917,4.583,7.5,5.417,5.417,9.167
Positive_435,1,0.45,5.405,6.306,9.91,4.955,4.054,4.505,5.405,3.604,8.108,4.054,2.703,5.856,13.514
Positive_1020,1,1.214,4.854,6.553,8.01,3.883,4.612,3.641,5.825,3.883,8.495,7.282,4.126,4.854,8.252
Positive_1079,1,0.649,4.545,4.545,3.247,4.221,6.169,3.247,6.494,6.169,5.195,6.494,5.844,4.87,10.065
Positive_214,1,2.031,4.524,5.263,3.786,3.324,2.77,4.617,6.741,4.247,5.91,7.756,3.601,4.709,10.988
Negative_920,0,0.969,14.101,1.722,3.875,3.014,1.615,1.938,13.24,2.691,6.781,5.059,5.597,6.889,7.858
Positive_778,1,3.03,4.293,3.535,7.323,4.798,3.03,2.525,8.081,4.04,7.323,7.323,5.051,7.323,10.354
Negative_1075,0,10.625,14.375,0.625,1.25,1.25,1.875,5.625,3.75,1.875,1.875,10.0,3.125,9.375,9.375
Negative_659,0,4.348,4.969,6.522,0.932,1.863,4.037,5.901,8.075,1.863,2.174,8.696,2.484,4.658,13.043
Positive_1069,1,1.152,3.647,6.718,6.526,5.95,2.303,2.879,5.374,3.455,6.718,8.253,3.455,4.223,9.021
Positive_1062,1,3.141,4.712,6.806,5.497,4.843,4.712,5.497,6.806,5.105,4.712,6.152,3.927,3.534,12.958
Negative_863,0,2.886,7.026,7.152,4.015,2.886,3.639,6.274,7.026,3.639,3.89,7.026,3.262,3.011,9.285
Negative_150,0,3.459,4.717,4.717,5.031,5.975,3.145,3.774,8.805,4.088,5.031,4.403,4.088,6.604,12.893
Positive_158,1,2.469,4.938,6.584,4.938,6.584,2.881,4.115,4.115,4.115,6.173,5.761,3.704,3.292,12.346
Negative_607,0,2.901,7.481,4.58,4.427,4.122,2.901,2.595,11.45,3.969,7.023,8.092,4.58,4.275,7.939
Negative_130,0,2.053,5.544,11.088,3.696,1.437,4.928,5.544,7.187,3.08,4.312,8.214,2.464,2.875,11.704
Positive_274,1,2.97,4.455,6.683,6.683,5.941,1.733,4.208,8.168,3.96,7.673,5.693,4.208,4.95,7.921
Positive_685,1,2.201,2.83,4.088,5.346,2.516,1.887,4.403,6.918,3.459,5.346,7.547,4.088,4.717,14.151
Positive_841,1,1.456,4.531,7.605,5.987,5.502,5.34,3.722,4.854,4.854,5.016,5.663,4.369,6.149,8.414
Positive_680,1,1.596,4.61,5.142,4.965,5.319,2.837,4.255,7.447,2.128,5.319,5.674,4.433,6.56,9.22
Negative_126,0,2.395,13.473,2.096,1.796,2.695,0.898,3.293,8.084,0.599,8.084,5.689,3.293,11.677,12.575
Negative_593,0,2.97,5.941,4.95,6.931,3.465,3.465,2.97,4.95,6.931,1.485,7.426,4.455,2.97,14.851
Positive_268,1,1.458,4.583,4.167,7.5,5.833,3.75,5.625,4.792,2.708,10.208,5.833,3.542,6.25,8.542
Negative_1018,0,6.32,11.524,1.859,1.115,2.23,3.346,2.974,10.037,1.859,7.435,4.461,4.833,5.948,8.922
Negative_1312,0,2.92,5.109,3.65,5.109,3.65,2.19,2.92,2.92,3.65,5.839,3.65,1.46,9.489,13.869
Negative_481,0,4.698,10.067,1.342,2.013,2.685,0.671,4.698,11.409,0.671,5.369,4.698,6.04,5.369,15.436
Negative_815,0,2.055,7.991,2.74,2.055,3.425,3.881,3.653,6.393,1.826,4.566,7.991,4.11,6.393,12.785
Positive_1149,1,1.194,3.714,2.52,14.324,5.703,1.459,2.653,15.65,5.04,10.477,3.581,3.846,13.793,2.255
Positive_479,1,0.829,5.249,5.249,7.597,5.801,5.11,2.624,7.044,5.249,9.254,5.11,5.11,5.801,10.497
Positive_49,1,2.411,8.894,3.159,3.076,4.156,2.494,3.907,6.733,2.328,6.484,6.068,5.902,7.398,10.64
Negative_536,0,1.586,9.514,2.748,5.285,4.44,1.268,2.537,10.994,2.114,7.505,4.968,4.651,7.611,7.505
Positive_625,1,0.588,1.765,6.471,8.235,11.176,1.765,7.059,7.059,3.529,8.235,7.647,3.529,4.706,10.588
Negative_664,0,2.837,4.965,3.546,4.965,3.546,4.965,4.965,3.546,2.128,2.837,8.511,1.418,4.255,7.092
Negative_169,0,3.333,4.667,3.333,7.333,1.333,2.667,4.0,10.667,6.0,2.0,6.667,3.333,6.0,11.333
Negative_315,0,2.378,7.509,3.88,3.755,5.882,3.254,2.753,12.265,7.009,5.757,5.257,4.255,4.881,7.259
Positive_607,1,2.952,5.166,5.535,5.166,6.273,2.952,2.214,3.321,2.583,6.273,8.487,4.059,3.69,15.498
Positive_1095,1,2.996,4.775,6.648,6.742,5.431,3.652,4.12,5.431,5.243,7.116,5.243,4.494,5.524,11.798
Positive_395,1,1.818,4.585,7.273,6.561,6.245,3.478,3.794,4.822,3.715,7.747,6.166,3.241,4.664,9.249
Negative_71,0,1.626,5.42,2.168,1.897,2.71,4.336,3.794,3.252,2.71,5.691,10.027,4.336,7.317,11.924
Positive_1054,1,2.344,5.781,3.75,5.938,5.156,2.344,4.062,8.594,3.125,5.156,7.812,4.844,5.781,8.281
Positive_235,1,1.37,2.055,5.822,6.507,2.74,5.137,4.11,8.219,3.425,5.822,8.562,2.397,3.425,10.616
Positive_1122,1,1.515,4.545,6.061,4.545,7.576,4.545,6.061,4.545,4.545,4.545,4.545,1.515,9.091,10.606
Positive_262,1,2.603,4.772,5.206,6.291,7.375,3.688,5.206,7.158,3.688,6.074,8.026,3.471,3.905,7.158
Negative_956,0,1.929,9.325,8.682,1.608,3.215,7.717,6.109,5.145,2.251,1.929,9.003,3.537,3.859,7.717
Negative_343,0,2.825,7.345,3.39,7.345,5.65,2.542,3.107,9.605,3.39,7.345,5.65,5.367,6.78,7.91
Negative_456,0,2.949,6.166,4.826,5.094,5.094,4.021,4.558,5.63,5.362,7.239,4.558,3.217,6.434,5.63
Positive_201,1,2.337,4.674,8.013,3.84,3.172,5.008,7.346,7.513,3.84,2.838,7.679,3.005,3.005,9.85
Negative_534,0,4.242,10.788,2.788,3.758,3.515,2.303,2.667,10.909,3.152,8.0,6.182,4.242,3.273,9.576
Positive_170,1,0.633,4.43,4.641,4.641,4.43,2.532,3.586,6.751,3.586,8.017,6.962,6.329,6.118,12.447
Positive_419,1,1.616,4.444,8.081,3.838,4.646,3.636,7.071,7.677,4.646,8.485,7.273,3.232,5.657,8.283
Negative_953,0,2.826,8.075,3.634,4.172,4.711,2.692,2.288,12.651,2.153,5.249,6.999,5.653,4.441,9.287
Negative_704,0,0.606,13.939,0.606,0.606,2.424,1.818,1.212,7.273,0.606,4.848,3.636,1.818,14.545,16.364
Positive_430,1,1.064,4.255,6.738,4.61,3.901,1.418,3.191,7.092,4.255,8.511,8.511,3.191,4.61,9.22
Negative_549,0,1.867,11.687,2.47,5.964,3.313,2.349,2.952,9.94,2.59,7.651,4.398,4.699,4.819,8.614
Positive_935,1,0.885,3.761,5.973,3.097,5.088,4.646,4.204,7.965,3.54,4.204,7.743,3.319,7.08,9.956
Positive_869,1,0.678,5.292,5.834,8.412,5.427,4.749,3.799,5.156,6.242,7.191,6.513,5.427,3.799,8.141
Negative_817,0,3.419,3.419,3.419,13.675,0.855,4.274,0.855,6.838,2.564,1.709,10.256,4.274,13.675,7.692
Positive_409,1,1.456,4.126,6.311,5.34,3.883,2.184,3.155,6.068,2.427,6.068,3.641,4.126,5.097,10.437
Negative_1021,0,4.36,3.542,3.542,5.45,4.905,1.907,3.542,9.264,2.452,4.087,8.447,5.995,5.45,9.809
Negative_828,0,2.663,6.659,4.479,4.722,3.39,1.816,3.39,6.901,2.663,7.869,6.538,5.448,7.022,10.775
Positive_989,1,2.413,4.584,7.358,5.308,6.152,2.413,3.739,6.755,5.79,7.479,5.549,3.981,6.031,8.323
Negative_890,0,2.963,10.37,1.852,2.222,0.741,1.481,4.815,3.704,3.704,8.889,7.778,5.926,6.296,14.815
Positive_317,1,3.833,3.484,7.143,9.059,5.749,2.787,4.53,4.704,7.491,7.666,5.923,2.439,3.659,6.62
Negative_564,0,27.431,11.471,0.998,1.995,1.746,0.249,0.0,21.446,0.0,1.247,9.227,8.978,1.496,2.494
Negative_56,0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,0.0
Negative_53,0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0
Negative_547,0,1.193,12.62,1.377,2.799,4.176,2.937,2.57,11.198,3.855,6.425,5.461,5.92,4.819,8.536
Positive_173,1,1.852,5.357,5.225,9.788,5.093,3.175,3.307,5.886,4.167,8.73,7.077,4.299,3.902,7.87
Positive_867,1,2.116,3.704,3.704,12.169,3.704,2.116,3.175,6.349,5.291,16.402,4.233,3.175,5.82,10.582
Negative_905,0,8.861,16.456,2.532,13.924,1.266,0.0,0.0,6.329,0.0,1.266,3.797,29.114,2.532,0.0
Negative_1279,0,5.319,5.319,7.447,10.638,5.319,1.064,3.191,3.191,3.191,11.702,0.0,3.191,7.447,7.447
Negative_550,0,2.478,5.948,1.735,2.107,4.337,1.363,4.213,9.294,1.363,5.576,6.815,5.452,7.311,16.976
Negative_896,0,1.942,8.738,1.942,0.971,1.942,0.971,3.883,7.767,2.913,3.883,5.825,4.854,12.621,13.592
Positive_692,1,2.841,3.409,7.386,3.977,2.273,5.682,3.977,6.25,2.841,3.977,9.091,2.841,6.25,15.909
Negative_1040,0,5.653,5.458,3.899,7.602,4.483,2.729,5.848,6.823,3.899,5.848,4.094,5.458,7.018,8.772
Negative_684,0,2.222,10.37,1.852,3.704,2.963,3.333,2.963,8.519,2.963,4.815,5.926,4.815,6.296,12.222
Negative_1220,0,4.658,7.143,3.416,6.522,6.211,3.106,3.727,5.901,1.242,9.006,3.416,4.037,9.006,4.969
Negative_73,0,1.667,9.167,5.833,2.5,7.5,1.667,2.5,9.167,6.667,2.5,4.167,4.167,5.833,6.667
Negative_879,0,2.439,4.878,4.503,4.878,3.752,0.563,2.814,6.004,3.565,5.816,8.255,5.066,4.128,12.195
Negative_33,0,0.0,15.385,0.0,7.692,7.692,0.0,0.0,30.769,0.0,0.0,15.385,7.692,0.0,7.692
Negative_810,0,3.509,5.556,6.725,4.386,4.094,3.801,3.216,7.018,3.216,5.556,6.14,6.725,3.801,9.357
Negative_1154,0,9.195,13.793,2.299,0.0,1.149,2.299,4.598,10.345,0.0,3.448,9.195,5.747,2.299,10.345
Negative_864,0,3.139,7.324,2.84,3.438,3.587,4.634,5.232,10.164,5.83,5.531,5.232,4.335,5.83,9.268
Negative_709,0,1.898,7.932,3.051,6.576,2.847,0.881,6.034,18.102,4.61,4.881,5.22,3.932,2.78,4.678
Negative_423,0,2.936,5.527,3.8,4.836,3.972,1.554,4.318,10.017,2.936,8.463,6.908,4.491,5.181,9.672
Positive_411,1,1.104,5.96,6.843,5.519,3.091,4.415,5.74,9.051,4.194,5.298,7.726,2.649,3.532,9.051
Positive_73,1,5.782,14.775,1.713,0.857,4.711,1.499,2.784,4.711,2.355,1.285,7.923,2.57,7.709,11.777
Negative_625,0,4.437,8.191,2.389,0.0,2.73,1.024,4.437,3.754,0.0,6.485,5.461,3.754,10.58,11.604
Negative_1275,0,0.932,9.091,5.828,3.73,4.196,1.399,1.166,9.091,3.03,7.459,3.497,5.594,6.527,6.294
Negative_301,0,6.25,7.812,3.125,6.25,0.0,0.0,3.125,12.5,1.562,1.562,0.0,7.812,12.5,17.188
Positive_176,1,1.34,5.193,6.7,8.04,5.695,3.685,4.188,3.685,4.188,9.213,5.36,3.183,4.858,8.878
Positive_101,1,2.222,6.984,6.032,8.889,7.937,3.492,6.349,5.079,3.175,5.714,4.762,3.492,4.127,8.571
Negative_1188,0,1.805,8.303,7.22,3.249,3.249,3.249,1.083,5.776,2.166,5.415,6.137,6.498,6.137,9.747
Positive_39,1,5.926,8.519,2.716,6.049,4.444,3.704,2.593,6.914,4.938,6.914,5.926,3.827,5.185,5.926
Negative_747,0,4.969,7.538,3.797,3.853,5.583,3.015,2.903,7.984,3.741,7.259,6.644,4.299,4.69,8.878
Positive_931,1,1.264,6.498,5.415,6.318,2.888,3.61,4.874,10.108,4.332,4.874,7.762,2.347,5.415,6.679
Negative_668,0,2.444,6.653,3.462,4.752,3.938,2.037,3.462,8.147,1.697,7.671,5.635,5.567,5.838,13.917
Positive_362,1,3.366,3.96,6.337,4.554,5.347,3.762,2.97,6.337,3.564,5.941,7.525,3.168,6.139,10.099
Negative_806,0,2.484,3.727,5.28,4.658,4.348,2.484,3.727,6.522,4.658,5.901,8.696,4.348,2.795,9.317
Negative_862,0,1.042,7.292,2.083,4.167,1.042,2.083,3.125,13.542,2.083,1.042,8.333,1.042,8.333,5.208
Negative_206,0,4.706,7.059,3.529,3.529,7.059,4.706,3.529,7.059,8.235,5.882,4.706,2.353,14.118,5.882
Negative_561,0,4.701,6.41,5.128,6.838,3.419,2.564,4.701,5.128,2.991,5.983,8.12,4.701,5.556,7.692
Positive_636,1,1.117,4.283,7.356,6.89,5.307,3.818,4.935,6.89,4.283,6.89,5.959,3.631,6.704,8.473
Negative_954,0,6.859,11.913,4.693,4.332,1.805,2.888,2.888,5.415,2.888,2.888,6.498,1.805,6.137,8.664
Negative_795,0,2.793,5.028,4.469,8.38,3.911,2.793,0.559,7.263,1.117,4.469,7.821,4.469,2.793,11.732
Positive_704,1,2.189,4.752,7.314,4.645,3.844,3.15,6.514,5.98,4.271,6.887,6.3,3.47,5.286,11.265
Negative_1145,0,2.874,7.471,2.874,4.023,3.448,1.149,5.747,9.195,2.874,5.747,4.023,8.046,8.046,13.793
Positive_364,1,1.331,7.101,5.473,5.325,3.698,2.811,4.586,7.988,1.479,4.142,8.136,3.846,7.396,9.615
Negative_538,0,1.57,13.303,1.719,2.915,3.662,2.765,1.943,13.229,2.317,4.185,4.26,2.99,6.129,7.25
Positive_649,1,3.184,6.433,3.834,5.263,4.743,2.339,2.924,7.212,2.859,9.162,5.783,5.848,6.043,12.021
Negative_1190,0,11.594,2.899,7.246,7.246,7.246,7.246,5.797,2.899,1.449,7.246,2.899,1.449,8.696,10.145
