id,label,_NormalizedVDWVC1,_PolarityC2,_NormalizedVDWVT23,_HydrophobicityC2,_NormalizedVDWVC3,_ChargeC3,_ChargeD2001,_SolventAccessibilityD3001,_HydrophobicityD3001,_PolarityD1001,_HydrophobicityT13,_SecondaryStrD1001,_SecondaryStrC2,_PolarizabilityC3,_SolventAccessibilityC3,_PolarizabilityT13,_PolarizabilityD3001,_NormalizedVDWVC2,_PolarityT13,_NormalizedVDWVD3001,_PolarizabilityC2,_PolarityD3001,_ChargeT23,_SecondaryStrD2001,_ChargeC2,_SolventAccessibilityC2,_SecondaryStrT12,_PolarizabilityD2001,_SolventAccessibilityT12,_SolventAccessibilityD2001,_ChargeT13,_SecondaryStrC3,_SolventAccessibilityD1001,_NormalizedVDWVD1001,_HydrophobicityC1,_NormalizedVDWVD2001,_PolarityC1,_SecondaryStrT13,_SecondaryStrT23,_PolarityC3,_HydrophobicityD2001,_HydrophobicityD1001,_PolarizabilityC1,_ChargeD1075,_HydrophobicityC3,_SolventAccessibilityT13,_ChargeD3001,_SecondaryStrD3001,_PolarityD2001,_PolarityT23,_ChargeD1050,_SecondaryStrD1075,_SolventAccessibilityC1,_PolarizabilityD1001,_ChargeT12,_SecondaryStrC1,_ChargeD1025,_ChargeD3100,_PolarityD1025,_ChargeC1,_SecondaryStrD2075,_PolarityT12,_ChargeD3075,_PolarizabilityT23,_SecondaryStrD2025,_NormalizedVDWVD3050,_ChargeD3050,_SecondaryStrD3050,_ChargeD3025,_NormalizedVDWVD3025,_HydrophobicityT12,_PolarityD1050,_SolventAccessibilityD2075,_PolarizabilityD3075,_PolarizabilityD1050,_SolventAccessibilityD1025,_SolventAccessibilityT23,_SolventAccessibilityD1075,_PolarityD2050,_PolarityD1075,_PolarizabilityT12,_ChargeD1001,_PolarizabilityD3050,_HydrophobicityD3025,_SecondaryStrD2050,_ChargeD2075,_SecondaryStrD3025,_PolarizabilityD3025,_SecondaryStrD3075,_SolventAccessibilityD3025,_PolarizabilityD2075,_NormalizedVDWVD1075,_NormalizedVDWVD2050,_SecondaryStrD1050,_PolarityD3075,_PolarityD2025,_PolarizabilityD2050,_HydrophobicityT23,_NormalizedVDWVD3075,_HydrophobicityD3075,_PolarizabilityD2025,_HydrophobicityD3050
Positive_464,1,0.313,0.264,0.253,0.367,0.342,0.077,0.225,0.225,0.225,0.225,0.172,0.225,0.309,0.342,0.275,0.135,0.225,0.345,0.246,0.225,0.41,0.901,0.122,1.351,0.831,0.252,0.257,0.676,0.21,0.901,0.018,0.232,0.45,0.45,0.252,1.351,0.417,0.235,0.135,0.32,0.45,0.901,0.248,65.541,0.381,0.246,0.901,0.676,0.45,0.149,50.0,76.351,0.473,0.45,0.131,0.459,18.468,98.874,30.856,0.092,72.973,0.199,74.324,0.287,26.802,53.829,25.676,46.847,10.586,29.505,0.196,54.955,76.802,73.649,40.541,29.73,0.158,72.297,40.991,72.973,0.221,4.054,53.829,31.306,53.829,75.45,19.595,29.505,77.477,22.973,75.45,74.55,50.45,48.649,78.604,16.441,50.676,0.278,73.649,73.198,24.324,53.604
Positive_1163,1,0.364,0.327,0.189,0.377,0.222,0.148,0.309,0.309,0.309,0.309,0.207,0.309,0.219,0.222,0.204,0.127,0.309,0.414,0.238,0.309,0.478,0.617,0.189,3.086,0.719,0.309,0.229,0.617,0.285,0.617,0.034,0.216,1.235,0.926,0.309,0.617,0.34,0.22,0.093,0.333,1.543,0.617,0.299,70.37,0.315,0.192,0.617,0.926,1.543,0.176,56.173,73.148,0.488,0.926,0.195,0.565,15.741,99.691,25.617,0.133,69.753,0.235,74.383,0.217,29.321,50.617,51.235,47.531,27.469,20.679,0.201,49.074,70.988,66.975,48.457,25.309,0.124,74.074,49.383,74.074,0.325,2.16,50.617,25.617,49.074,75.309,24.074,20.679,80.864,22.222,77.469,76.852,50.0,50.926,70.988,25.0,49.691,0.254,66.975,73.457,23.765,48.148
Negative_727,0,0.398,0.349,0.174,0.409,0.261,0.049,0.275,0.275,0.275,0.275,0.121,0.275,0.387,0.261,0.291,0.152,0.275,0.341,0.146,0.275,0.426,0.824,0.077,1.374,0.879,0.19,0.242,0.824,0.165,0.824,0.011,0.255,0.549,0.549,0.19,0.824,0.442,0.165,0.187,0.209,0.549,0.824,0.313,72.527,0.401,0.289,4.67,1.648,0.549,0.157,53.022,73.901,0.519,0.549,0.121,0.357,22.527,97.253,28.571,0.071,73.077,0.309,72.253,0.237,28.571,49.176,45.33,51.099,11.264,22.253,0.154,48.901,72.527,76.099,49.725,28.846,0.11,75.275,51.099,74.176,0.281,2.473,49.176,28.571,48.901,75.275,19.78,22.253,80.769,16.484,72.802,77.747,44.505,49.725,72.527,23.901,48.901,0.306,76.099,74.176,25.824,48.901
Positive_701,1,0.358,0.279,0.175,0.368,0.274,0.119,0.498,0.498,0.498,0.498,0.22,0.498,0.269,0.274,0.249,0.175,0.498,0.368,0.275,0.498,0.423,0.995,0.17,1.493,0.766,0.313,0.245,0.995,0.25,0.995,0.04,0.254,1.99,2.985,0.313,0.995,0.383,0.22,0.165,0.338,1.493,0.995,0.303,80.1,0.318,0.2,0.995,2.985,2.985,0.135,46.269,72.139,0.438,2.985,0.16,0.478,20.398,95.522,21.891,0.114,73.632,0.2,76.617,0.2,23.383,48.756,44.776,48.259,16.418,20.398,0.19,49.751,80.1,72.637,47.761,23.881,0.16,71.144,52.736,72.637,0.26,9.453,48.756,21.393,48.756,72.637,19.403,20.398,75.622,26.368,79.104,70.149,49.751,50.746,80.1,28.358,49.751,0.215,72.637,79.104,23.383,49.751
Negative_914,0,0.427,0.375,0.131,0.402,0.163,0.092,0.056,0.056,0.056,0.056,0.165,0.056,0.214,0.163,0.256,0.112,0.056,0.41,0.188,0.056,0.527,1.69,0.154,0.338,0.842,0.241,0.205,0.169,0.237,1.859,0.014,0.295,0.113,0.113,0.241,0.169,0.365,0.261,0.143,0.26,0.113,1.859,0.309,73.972,0.358,0.25,1.859,0.225,0.113,0.183,55.324,75.437,0.503,0.113,0.103,0.491,34.141,98.93,26.141,0.066,77.408,0.279,78.141,0.164,25.634,49.69,53.465,44.0,29.577,26.479,0.186,49.859,76.845,74.986,48.282,24.845,0.114,75.718,46.761,74.423,0.344,2.254,49.69,26.028,51.549,74.423,21.296,26.479,71.155,21.634,74.141,73.859,53.07,52.507,76.563,22.141,50.197,0.297,74.986,74.648,26.028,50.31
Negative_726,0,0.452,0.39,0.134,0.445,0.202,0.099,0.078,0.078,0.078,0.078,0.162,0.078,0.255,0.202,0.255,0.156,0.078,0.346,0.2,0.078,0.431,0.388,0.166,0.621,0.817,0.253,0.214,0.311,0.268,0.388,0.015,0.312,0.155,0.155,0.253,0.388,0.324,0.267,0.155,0.286,0.155,0.388,0.367,79.814,0.302,0.258,0.388,0.155,0.155,0.23,49.457,72.981,0.491,0.155,0.139,0.433,19.72,99.845,24.068,0.084,73.913,0.239,72.904,0.166,24.845,48.68,47.671,54.037,20.342,23.059,0.231,49.379,74.922,75.233,48.214,25.311,0.125,74.767,49.845,73.913,0.316,0.543,48.68,24.068,51.165,74.534,27.019,23.059,78.028,25.233,74.301,75.621,51.553,46.584,74.301,26.087,51.63,0.262,75.233,73.447,26.553,48.991
Positive_438,1,0.335,0.243,0.217,0.321,0.312,0.147,0.459,0.459,0.459,0.459,0.253,0.459,0.28,0.312,0.252,0.198,0.459,0.353,0.295,0.459,0.422,4.128,0.221,1.835,0.729,0.339,0.258,2.294,0.304,4.128,0.037,0.266,2.294,0.917,0.339,2.294,0.394,0.249,0.147,0.362,0.917,4.128,0.266,83.486,0.339,0.157,4.128,0.917,0.917,0.198,51.835,72.936,0.408,0.917,0.18,0.454,22.936,88.073,25.229,0.124,73.853,0.226,69.266,0.263,28.44,55.963,44.954,49.541,19.266,22.936,0.24,52.752,72.018,77.064,41.284,27.523,0.189,75.229,47.706,74.771,0.235,5.046,55.963,27.523,52.752,74.771,22.018,22.936,75.688,15.596,74.771,73.394,46.789,47.248,72.018,17.89,50.0,0.23,77.064,75.229,29.358,55.046
Positive_164,1,0.328,0.261,0.237,0.361,0.361,0.134,0.84,0.84,0.84,0.84,0.153,0.84,0.277,0.361,0.269,0.161,0.84,0.311,0.186,0.84,0.412,3.361,0.136,1.681,0.706,0.319,0.28,1.681,0.169,3.361,0.051,0.244,1.681,2.521,0.319,1.681,0.395,0.246,0.127,0.345,2.521,3.361,0.227,73.109,0.319,0.271,6.723,5.042,2.521,0.161,42.017,73.95,0.412,2.521,0.178,0.479,15.126,94.958,27.731,0.16,70.588,0.229,85.714,0.297,32.773,60.504,72.269,33.613,22.689,29.412,0.161,52.101,82.353,78.151,45.378,28.571,0.144,62.185,34.454,68.908,0.178,3.361,60.504,26.05,56.303,68.908,17.647,29.412,66.387,19.328,68.067,66.387,43.697,49.58,82.353,17.647,38.655,0.28,78.151,68.067,18.487,47.899
Positive_57,1,0.458,0.402,0.127,0.445,0.226,0.057,0.27,0.27,0.27,0.27,0.089,0.27,0.275,0.226,0.28,0.17,0.27,0.315,0.114,0.27,0.415,3.504,0.089,1.617,0.854,0.186,0.254,0.539,0.165,5.93,0.019,0.272,0.539,1.078,0.186,0.539,0.388,0.235,0.103,0.21,1.078,5.93,0.358,66.846,0.369,0.289,7.008,1.348,1.078,0.189,40.162,70.35,0.534,1.078,0.127,0.453,26.954,99.191,25.337,0.089,74.933,0.295,80.054,0.168,31.536,42.588,51.482,51.482,22.911,28.302,0.181,47.709,67.925,67.116,51.482,23.989,0.105,73.854,53.639,74.933,0.308,7.278,42.588,24.528,55.256,75.472,21.294,28.302,82.48,25.606,75.741,80.323,47.709,42.588,67.655,23.45,49.596,0.319,67.116,74.663,23.181,47.709
Negative_631,0,0.411,0.345,0.12,0.374,0.204,0.082,0.265,0.265,0.265,0.265,0.186,0.265,0.308,0.204,0.255,0.154,0.265,0.385,0.202,0.265,0.472,0.796,0.114,0.531,0.833,0.228,0.242,0.796,0.229,0.796,0.024,0.273,1.592,0.531,0.228,0.796,0.419,0.194,0.184,0.236,0.531,0.796,0.324,87.003,0.398,0.255,1.061,1.326,0.531,0.13,46.154,81.432,0.517,0.531,0.12,0.419,13.263,96.817,28.382,0.085,70.027,0.263,76.393,0.162,28.382,45.889,47.745,47.745,8.223,18.037,0.136,51.459,84.615,75.597,50.928,29.973,0.093,74.005,50.663,73.74,0.255,1.857,45.889,29.443,50.398,73.475,20.424,18.037,70.557,17.507,75.862,71.353,53.05,51.194,83.554,23.342,50.663,0.258,75.597,72.414,28.382,51.459
Negative_330,0,0.343,0.271,0.203,0.314,0.314,0.071,1.429,1.429,1.429,1.429,0.217,1.429,0.3,0.314,0.157,0.116,1.429,0.343,0.246,1.429,0.443,8.571,0.145,10.0,0.771,0.271,0.319,2.857,0.304,8.571,0.0,0.114,4.286,2.857,0.271,10.0,0.414,0.116,0.058,0.314,2.857,8.571,0.243,92.857,0.414,0.159,54.286,2.857,2.857,0.174,51.429,70.0,0.571,4.286,0.232,0.586,35.714,82.857,15.714,0.157,68.571,0.203,62.857,0.29,15.714,51.429,60.0,55.714,54.286,14.286,0.188,31.429,82.857,80.0,38.571,20.0,0.101,71.429,38.571,65.714,0.261,8.571,51.429,15.714,40.0,68.571,4.286,14.286,77.143,2.857,71.429,77.143,40.0,45.714,82.857,18.571,47.143,0.232,80.0,65.714,22.857,31.429
Negative_17,0,0.508,0.475,0.069,0.61,0.356,0.017,1.695,1.695,1.695,1.695,0.121,1.695,0.356,0.356,0.492,0.362,1.695,0.136,0.19,1.695,0.22,3.39,0.034,5.085,0.915,0.119,0.241,6.78,0.172,3.39,0.0,0.288,5.085,6.78,0.119,15.254,0.305,0.19,0.276,0.22,6.78,3.39,0.424,67.797,0.271,0.293,22.034,6.78,6.78,0.224,47.458,77.966,0.39,10.169,0.138,0.356,3.39,22.034,15.254,0.068,66.102,0.31,22.034,0.103,20.339,52.542,22.034,33.898,22.034,30.508,0.121,44.068,67.797,66.102,50.847,25.424,0.069,83.051,45.763,62.712,0.172,3.39,52.542,15.254,52.542,74.576,16.949,30.508,64.407,18.644,49.153,76.271,49.153,49.153,67.797,20.339,25.424,0.31,66.102,62.712,15.254,30.508
Positive_1141,1,0.4,0.347,0.16,0.39,0.228,0.109,0.253,0.253,0.253,0.253,0.18,0.253,0.228,0.228,0.205,0.135,0.253,0.372,0.198,0.253,0.42,1.013,0.162,0.759,0.757,0.309,0.198,1.519,0.282,1.013,0.03,0.289,0.506,0.506,0.309,1.519,0.322,0.284,0.147,0.332,0.506,1.013,0.352,68.861,0.301,0.19,3.038,3.038,0.506,0.216,46.835,73.924,0.486,0.506,0.206,0.484,25.063,99.241,20.759,0.134,79.241,0.261,69.114,0.185,27.342,38.228,48.608,49.873,24.81,18.228,0.239,49.114,70.127,64.304,53.924,23.797,0.137,76.456,53.924,72.405,0.327,1.013,38.228,20.759,52.911,75.443,26.835,18.228,74.43,21.519,73.165,76.456,52.658,48.101,69.114,26.076,51.646,0.269,64.304,72.405,29.62,50.127
Positive_716,1,0.349,0.284,0.201,0.354,0.252,0.151,0.155,0.155,0.155,0.155,0.219,0.155,0.283,0.252,0.222,0.166,0.155,0.399,0.269,0.155,0.429,1.087,0.218,0.311,0.724,0.365,0.275,0.311,0.317,1.087,0.044,0.269,0.311,0.466,0.365,0.311,0.326,0.24,0.128,0.39,0.466,1.087,0.32,72.671,0.281,0.191,1.087,0.932,0.466,0.222,56.211,77.174,0.413,0.466,0.184,0.449,31.056,99.845,22.981,0.126,75.0,0.179,72.981,0.207,23.137,54.037,49.068,47.36,28.261,28.571,0.257,48.758,74.068,77.95,50.0,20.186,0.159,75.155,50.155,78.261,0.253,4.503,54.037,21.739,44.41,75.155,19.876,28.571,70.807,25.932,73.913,71.273,44.72,54.348,73.913,20.963,47.205,0.198,77.95,76.863,22.981,51.708
Positive_785,1,0.542,0.48,0.111,0.515,0.182,0.135,0.132,0.132,0.132,0.132,0.132,0.132,0.172,0.182,0.339,0.157,0.132,0.276,0.149,0.132,0.404,0.396,0.193,1.055,0.741,0.319,0.145,0.396,0.247,0.396,0.032,0.409,0.264,0.264,0.319,0.396,0.174,0.333,0.14,0.346,0.264,0.396,0.414,77.045,0.166,0.238,0.396,0.528,0.264,0.303,60.422,72.691,0.342,0.264,0.203,0.42,38.654,98.681,26.781,0.124,82.19,0.139,51.451,0.145,32.718,54.485,29.815,52.639,13.72,29.288,0.312,56.86,75.726,77.968,50.132,24.67,0.197,78.364,50.396,82.718,0.321,0.66,54.485,26.781,58.311,75.462,27.309,29.288,73.087,26.517,75.198,69.921,45.119,45.119,76.781,24.406,46.702,0.148,77.968,82.586,24.406,55.937
Negative_535,0,0.51,0.451,0.06,0.569,0.196,0.0,1.961,1.961,1.961,1.961,0.02,1.961,0.176,0.196,0.51,0.04,1.961,0.294,0.1,1.961,0.51,25.49,0.0,15.686,1.0,0.078,0.14,7.843,0.04,25.49,0.0,0.373,5.882,3.922,0.078,9.804,0.353,0.38,0.14,0.196,3.922,25.49,0.294,0.0,0.353,0.52,0.0,3.922,3.922,0.16,0.0,80.392,0.412,3.922,0.0,0.451,0.0,0.0,17.647,0.0,58.824,0.44,0.0,0.12,17.647,45.098,0.0,37.255,0.0,31.373,0.14,35.294,86.275,49.02,60.784,21.569,0.12,76.471,52.941,62.745,0.48,0.0,45.098,17.647,31.373,74.51,11.765,31.373,72.549,19.608,74.51,72.549,62.745,50.98,66.667,13.725,41.176,0.52,49.02,62.745,21.569,35.294
Negative_473,0,0.452,0.395,0.133,0.435,0.226,0.088,0.17,0.17,0.17,0.17,0.107,0.17,0.255,0.226,0.264,0.148,0.17,0.321,0.14,0.17,0.41,0.51,0.102,3.401,0.81,0.238,0.201,1.531,0.199,0.51,0.01,0.318,0.34,0.34,0.238,1.531,0.349,0.249,0.14,0.257,0.34,0.51,0.364,74.83,0.327,0.276,1.531,0.68,0.34,0.187,50.51,75.17,0.498,0.34,0.16,0.427,28.231,96.429,20.238,0.102,61.054,0.279,79.252,0.17,20.918,43.197,61.395,60.374,47.789,22.279,0.213,41.667,77.211,69.728,50.68,23.299,0.121,70.068,52.381,65.476,0.315,0.51,43.197,20.578,41.497,73.639,35.714,22.279,83.163,24.66,75.68,79.422,46.939,46.769,76.02,28.401,51.361,0.288,69.728,65.986,25.17,43.707
Positive_684,1,0.368,0.315,0.173,0.354,0.245,0.089,0.331,0.331,0.331,0.331,0.186,0.331,0.301,0.245,0.235,0.159,0.331,0.387,0.219,0.331,0.45,1.325,0.116,0.662,0.798,0.272,0.286,0.662,0.252,1.325,0.03,0.215,0.662,2.318,0.272,0.662,0.391,0.209,0.116,0.295,2.318,1.325,0.305,63.576,0.374,0.246,11.589,2.318,2.318,0.199,33.113,76.159,0.493,2.318,0.176,0.483,17.219,94.04,22.185,0.113,74.172,0.243,61.921,0.209,26.49,47.02,37.086,49.669,25.828,21.192,0.199,50.662,68.874,76.159,50.993,20.53,0.133,70.861,58.94,74.834,0.249,1.325,47.02,22.185,50.662,75.497,31.788,21.192,69.868,35.099,77.815,72.517,46.689,47.682,73.179,26.49,50.0,0.276,76.159,74.834,25.166,50.662
Negative_658,0,0.646,0.572,0.071,0.611,0.136,0.06,0.017,0.017,0.017,0.017,0.103,0.017,0.384,0.136,0.468,0.126,0.017,0.219,0.128,0.017,0.365,0.139,0.102,0.121,0.89,0.162,0.25,0.069,0.15,0.139,0.006,0.326,0.035,0.035,0.162,0.174,0.243,0.161,0.239,0.184,0.035,0.139,0.5,73.048,0.227,0.324,0.417,0.035,0.035,0.164,41.149,74.679,0.369,0.035,0.091,0.289,18.327,99.931,17.268,0.051,75.738,0.225,73.186,0.107,28.862,41.652,30.649,49.948,15.359,18.084,0.156,41.791,75.633,73.724,53.419,19.351,0.108,75.512,54.235,78.219,0.313,0.139,41.652,17.563,52.759,75.113,25.2,18.084,74.262,35.04,77.265,74.644,42.936,45.592,75.633,33.912,46.633,0.23,73.724,78.688,20.583,42.971
Negative_343,0,0.404,0.319,0.19,0.362,0.266,0.13,0.282,0.282,0.282,0.282,0.187,0.282,0.26,0.266,0.28,0.144,0.282,0.331,0.218,0.282,0.432,1.13,0.184,0.565,0.729,0.359,0.215,0.565,0.244,1.13,0.048,0.311,0.565,0.565,0.359,2.542,0.305,0.238,0.17,0.376,0.847,1.13,0.302,80.791,0.28,0.181,3.39,0.847,0.847,0.244,41.808,81.073,0.362,0.847,0.19,0.429,19.209,97.458,25.424,0.141,68.079,0.187,74.859,0.238,27.401,41.808,52.825,47.74,24.294,21.186,0.252,48.87,78.814,70.621,50.282,28.814,0.195,70.339,52.26,68.079,0.252,1.13,41.808,25.424,47.458,72.881,22.316,21.186,72.881,20.621,75.424,73.164,55.932,54.237,77.966,24.576,52.542,0.201,70.621,69.774,26.271,49.153
Negative_316,0,0.376,0.312,0.153,0.328,0.248,0.096,0.8,0.8,0.8,0.8,0.226,0.8,0.216,0.248,0.2,0.137,0.8,0.376,0.234,0.8,0.48,2.4,0.121,3.2,0.776,0.312,0.185,5.6,0.315,2.4,0.04,0.264,3.2,1.6,0.312,9.6,0.36,0.258,0.129,0.328,1.6,2.4,0.272,82.4,0.36,0.21,14.4,1.6,1.6,0.202,56.0,79.2,0.488,1.6,0.202,0.52,15.2,92.0,35.2,0.128,76.0,0.218,88.8,0.226,23.2,50.4,49.6,34.4,28.0,15.2,0.21,60.0,83.2,75.2,36.8,25.6,0.121,74.4,36.0,78.4,0.202,2.4,50.4,35.2,61.6,70.4,17.6,15.2,55.2,12.8,81.6,60.8,58.4,53.6,82.4,16.8,56.8,0.226,75.2,78.4,31.2,60.0
Positive_1213,1,0.411,0.351,0.159,0.409,0.253,0.095,0.153,0.153,0.153,0.153,0.139,0.153,0.321,0.253,0.321,0.154,0.153,0.336,0.177,0.153,0.42,1.985,0.128,0.763,0.8,0.267,0.235,0.763,0.182,1.985,0.024,0.281,0.305,0.305,0.267,0.763,0.36,0.232,0.165,0.289,0.305,1.985,0.327,67.939,0.324,0.26,5.038,0.611,0.305,0.171,47.023,73.13,0.412,0.305,0.156,0.398,21.221,95.878,25.802,0.105,62.595,0.266,70.534,0.193,27.481,44.58,30.992,57.252,17.557,20.763,0.191,43.817,75.42,65.038,53.893,26.26,0.148,65.954,56.336,62.595,0.271,1.985,44.58,27.634,43.969,76.031,25.038,20.763,82.137,31.145,77.405,81.374,49.618,50.382,75.42,30.382,50.076,0.277,65.038,65.954,24.885,44.885
Negative_247,0,0.416,0.356,0.159,0.411,0.228,0.089,0.495,0.495,0.495,0.495,0.144,0.495,0.272,0.228,0.228,0.129,0.495,0.356,0.194,0.495,0.421,10.396,0.149,2.97,0.812,0.277,0.294,0.99,0.269,10.396,0.01,0.228,0.99,1.485,0.277,0.99,0.342,0.224,0.134,0.302,1.485,10.396,0.351,73.762,0.312,0.299,21.287,1.485,1.485,0.219,49.505,72.277,0.495,2.475,0.154,0.5,19.307,98.515,27.723,0.099,77.723,0.229,87.129,0.209,29.703,55.446,69.802,46.04,46.04,30.693,0.229,53.96,82.673,81.683,43.069,26.238,0.104,71.287,38.614,74.752,0.269,10.891,55.446,26.238,52.475,72.277,15.842,30.693,72.772,15.347,74.257,67.327,53.96,48.515,82.673,15.842,49.01,0.279,81.683,74.257,22.277,50.495
Positive_130,1,0.343,0.263,0.218,0.343,0.286,0.166,0.571,0.571,0.571,0.571,0.236,0.571,0.189,0.286,0.217,0.167,0.571,0.371,0.287,0.571,0.4,2.286,0.213,2.857,0.709,0.366,0.201,2.286,0.31,2.286,0.046,0.246,2.857,1.143,0.366,2.286,0.331,0.253,0.121,0.406,1.143,2.286,0.314,69.143,0.291,0.172,6.857,1.143,1.143,0.19,48.0,76.0,0.417,1.143,0.161,0.566,34.286,100.0,19.429,0.126,72.571,0.19,74.857,0.23,16.571,48.0,50.286,46.286,30.857,29.143,0.207,45.143,73.143,76.0,50.286,25.714,0.132,74.286,52.0,74.286,0.287,3.429,48.0,21.714,29.143,73.714,18.857,29.143,70.857,16.0,74.857,70.857,44.571,55.429,76.0,18.857,48.571,0.23,76.0,76.571,24.571,51.429
Negative_142,0,0.421,0.355,0.167,0.439,0.25,0.057,0.439,0.439,0.439,0.439,0.154,0.439,0.241,0.25,0.342,0.176,0.439,0.329,0.207,0.439,0.452,1.316,0.088,0.877,0.846,0.241,0.242,1.754,0.216,1.316,0.026,0.298,3.07,0.877,0.241,1.754,0.346,0.282,0.119,0.298,0.877,1.316,0.298,44.737,0.32,0.313,1.316,1.316,0.877,0.225,31.14,66.228,0.417,0.877,0.159,0.461,20.175,95.175,25.439,0.096,82.456,0.22,32.456,0.198,17.105,42.982,20.614,61.404,5.702,22.807,0.181,49.561,47.368,70.175,57.018,28.509,0.119,77.632,61.404,77.193,0.26,3.947,42.982,27.193,48.684,77.193,31.579,22.807,79.825,35.526,73.684,78.947,39.912,42.982,58.772,39.474,49.123,0.282,70.175,77.193,21.491,53.509
Positive_1049,1,0.403,0.341,0.162,0.381,0.212,0.114,0.107,0.107,0.107,0.107,0.212,0.107,0.287,0.212,0.232,0.147,0.107,0.385,0.239,0.107,0.456,0.535,0.168,0.642,0.773,0.301,0.23,0.321,0.304,0.535,0.027,0.277,0.214,0.214,0.301,0.535,0.336,0.238,0.18,0.323,0.214,0.535,0.333,70.267,0.319,0.211,0.535,0.321,0.214,0.224,49.519,76.684,0.467,0.214,0.179,0.436,26.203,99.358,25.027,0.112,73.476,0.232,72.086,0.192,24.813,52.193,49.947,46.952,21.925,28.021,0.225,50.909,72.62,75.401,50.374,25.241,0.133,75.187,49.091,74.973,0.309,1.07,52.193,24.813,49.626,75.508,24.599,28.021,73.69,26.417,74.652,74.866,48.556,51.123,73.155,26.631,48.021,0.253,75.401,74.545,22.674,51.23
Positive_636,1,0.331,0.266,0.209,0.345,0.304,0.122,0.093,0.093,0.093,0.093,0.229,0.093,0.291,0.304,0.253,0.154,0.093,0.366,0.285,0.093,0.42,0.372,0.177,0.838,0.742,0.337,0.259,0.279,0.292,0.372,0.03,0.264,0.279,0.186,0.337,0.279,0.356,0.23,0.159,0.378,0.186,0.372,0.277,67.225,0.318,0.206,0.559,0.186,0.186,0.203,43.389,73.65,0.41,0.186,0.211,0.445,21.788,99.721,25.326,0.136,76.164,0.182,79.516,0.246,25.326,48.138,48.51,51.583,24.115,23.557,0.231,49.534,74.86,69.926,53.538,27.654,0.169,77.374,51.583,76.443,0.231,0.372,48.138,25.512,50.372,75.233,26.723,23.557,76.536,21.695,77.933,75.233,48.883,48.417,73.557,25.233,48.883,0.221,69.926,77.002,22.626,48.883
Negative_572,0,0.542,0.396,0.064,0.562,0.333,0.042,2.083,2.083,2.083,2.083,0.021,2.083,0.375,0.333,0.312,0.362,2.083,0.125,0.085,2.083,0.271,8.333,0.064,6.25,0.917,0.146,0.106,10.417,0.106,8.333,0.021,0.417,6.25,4.167,0.146,10.417,0.438,0.213,0.383,0.167,4.167,8.333,0.396,31.25,0.292,0.426,8.333,4.167,4.167,0.128,31.25,54.167,0.542,4.167,0.064,0.208,85.417,83.333,37.5,0.042,79.167,0.511,8.333,0.191,41.667,60.417,8.333,39.583,83.333,16.667,0.149,60.417,31.25,81.25,39.583,33.333,0.064,72.917,43.75,77.083,0.277,31.25,60.417,37.5,68.75,72.917,18.75,16.667,58.333,14.583,72.917,68.75,22.917,31.25,31.25,25.0,50.0,0.404,81.25,79.167,22.917,68.75
Positive_277,1,0.384,0.305,0.195,0.371,0.257,0.114,0.102,0.102,0.102,0.102,0.194,0.102,0.32,0.257,0.283,0.165,0.102,0.359,0.233,0.102,0.434,0.205,0.176,0.82,0.778,0.303,0.23,1.127,0.252,0.205,0.027,0.298,0.307,0.307,0.303,1.127,0.369,0.223,0.188,0.326,0.307,0.205,0.308,75.615,0.326,0.241,0.922,0.307,0.307,0.2,50.41,75.615,0.414,0.307,0.174,0.382,19.775,99.898,26.537,0.109,70.799,0.216,76.742,0.236,25.922,52.561,45.799,48.156,23.258,26.025,0.227,52.869,75.512,75.717,49.078,24.078,0.168,74.488,48.156,74.898,0.272,0.205,52.561,24.385,47.029,74.488,24.488,26.025,76.332,25.922,73.668,75.205,48.566,53.381,75.512,23.975,48.361,0.233,75.717,75.0,23.668,52.049
Positive_1043,1,0.365,0.289,0.174,0.328,0.188,0.173,0.304,0.304,0.304,0.304,0.271,0.304,0.264,0.188,0.213,0.134,0.304,0.447,0.299,0.304,0.508,0.608,0.253,1.52,0.708,0.35,0.277,0.608,0.36,0.608,0.03,0.252,0.912,0.912,0.35,0.608,0.337,0.247,0.149,0.374,0.912,0.608,0.304,74.772,0.322,0.183,2.128,0.912,0.912,0.223,51.672,75.38,0.438,0.912,0.189,0.483,27.66,100.0,23.708,0.119,67.781,0.204,74.164,0.204,22.492,48.632,57.143,46.809,29.179,21.581,0.22,46.505,74.468,73.86,47.416,24.62,0.131,75.684,47.112,75.684,0.305,3.04,48.632,23.708,44.377,73.556,23.404,21.581,76.292,17.325,75.076,75.988,50.152,53.191,74.164,20.973,51.064,0.22,73.86,75.684,24.62,46.505
